Food Name,Calories,Protein_g,Carbohydrates_g,taste,Ingredients,prep_time,Instructions,Description,Fat,No_serving
Kundru(ivy gourd)masala curry(light),140,2,10,"Spicy, Astringent","Ivy Gourd, Onion, Tomato, Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 25 M,"Wash and chop ivy gourd. Heat sunflower oil, add cumin, then sauté onion and tomato with turmeric, red chili, and salt. Add ivy gourd, stir well, and cook until tender. Garnish and serve hot.","Low-calorie, fiber-rich veggie supports slow digestion and stable blood sugar.",4,2–3
Drumstick pods curry with dal,160,6,10,"Bitter, Astringent","Drumstick , Toor Dal, Onion , Tomato , Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 25 M,"Chop drumstick pods and boil briefly. Cook toor dal until soft. Heat sunflower oil, add cumin, then sauté onion, tomato, turmeric, red chili, and salt. Add dal and drumstick pods, simmer for a few minutes, and serve warm.","High in fiber and protein, drumstick with dal aids insulin response.",3.5,3
Cluster beans(gavar)stir fry,120,3,8,"Bitter, Astringent","Beans , Onion , Tomato,Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 20 M,"Wash and chop beans. Heat sunflower oil, add cumin, turmeric, red chili, and salt. Add onion and tomato, sauté briefly, then stir in beans. Cook until tender and serve.","Low-GI, high-fiber vegetable that reduces postprandial sugar spikes.",5,2–3
"Peas curry(light tomato base,not creamy)",150,5,15,"Spicy, Astringent","Peas , Tomato, Onion,Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 25 M,"Boil peas until soft. Heat sunflower oil, add cumin, turmeric, red chili, and salt. Sauté onion and tomato, then add peas and a little water. Simmer 5 minutes and serve.","Moderately low-GI, protein and fiber-rich, providing steady energy.",4,3
"Colocasia leaves curry(patra style,steamed)",170,3,10,"Sour, Astringent","Colocasia Leaves, Coconut , Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 40 M,"Wash and chop colocasia leaves. Grind coconut, red chili, turmeric, cumin, and salt to a paste. Spread paste on each leaf, roll tightly, and steam until cooked. Slice and serve with chutney.","Steamed, fibrous leaves reduce glycemic impact while offering antioxidants.",5,3
Moringa leaves stir fry with garlic,130,4,6,"Bitter, Spicy","Moringa Leaves, Garlic, Green Chili, Salt, Sunflower Oil",Total in 15 M,"Wash and chop moringa leaves. Heat sunflower oil, add garlic and green chili, sauté until fragrant. Add moringa leaves and salt. Stir-fry until wilted and serve hot.",Moringa’s bioactive compounds and fiber help manage blood glucose.,6,2
Beetroot thoran(with coconut very minimal),140,3,10,"Astringent, Salty","Beetroot , Coconut, Green Chili, Mustard Seeds, Salt, Coconut Oil",Total in 25 M,"Peel and grate beetroot. Heat coconut oil, add mustard seeds and green chili. Add beetroot and salt, sprinkle grated coconut, stir-fry for 5–7 minutes, and serve.",Beetroot in moderation supports circulation; minimal coconut keeps fat low.,4,2
Vegetable moong dal cheela(with Fenugreek Leaves&coriander),160,7,18,"Spicy, Astringent","Moong Dal , Fenugreek Leaves Leaves, Coriander, Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 20 M,"Soak moong dal, grind to a smooth batter. Add chopped fenugreek leaves, coriander, turmeric, red chili, cumin, salt, and mix well. Heat sunflower oil on a pan, pour batter into small rounds, cook both sides till golden, and serve with chutney.",Protein-rich dal plus fenugreek reduces post-meal glucose rise.,3,2
Lentil sprouts dosa(without rice),170,8,18,"Astringent, Spicy","Moong, Chana, Spices Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 25 M,"Grind soaked moong and chana with turmeric, red chili, cumin, and salt to make a smooth batter. Heat sunflower oil, pour ladlefuls onto a pan, and spread thinly. Cook till crisp on both sides and serve with chutney.","Sprouted lentils provide low-GI protein, ideal for blood sugar control.",4,2
Cabbage oats pancake,140,5,20,"Astringent, Spicy","Cabbage , Oats Flour, Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 20 M,"Mix grated cabbage, oats flour, turmeric, red chili, cumin, and salt into a batter. Heat sunflower oil, pour batter in small rounds, and cook on both sides till golden. Serve hot.",High-fiber cabbage and oats slow digestion and reduce sugar spikes.,3.5,2–3
Pumpkin oats tikki(baked),150,5,18,"Astringent, Salty","Pumpkin, Oats, Turmeric, Red Chili, Cumin, Salt, Baking Powder, Sunflower Oil",Total in 30 M,"Grate pumpkin and mix with oats, turmeric, red chili, cumin, baking powder, and salt. Shape into small tikkis, brush with sunflower oil, and bake until golden. Serve with chutney or yogurt.",Pumpkin’s moderate GI and oats provide fiber for balanced glucose release.,6,2
Stuffed mushroom caps(paneer/spinach filling),120,7,8,"Spicy, Astringent","Mushroom, Paneer, Spinach,Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 30 M,"Remove stems from mushrooms, fill with mixture of paneer, spinach, turmeric, red chili, cumin, and salt sautéed in sunflower oil. Bake or air-fry until mushrooms are tender. Serve hot.",Low-carb mushroom with protein filling stabilizes blood sugar.,5,3–4
"Baked Fenugreek Leaves muthia(without sugar,less oil)",160,5,20,"Bitter, Astringent","Fenugreek, Besan , Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 40 M,"Mix chopped fenugreek leaves, besan, turmeric, red chili, cumin, salt, and sunflower oil into a dough. Roll into small logs and steam or bake until firm. Slice and serve with chutney.",Fenugreek and steamed preparation reduce glycemic load.,3,3–4
Oats&Fenugreek Leaves dhokla(steamed),150,5,18,"Bitter, Astringent","Oats Flour,Fenugreek, Curd, Turmeric, Red Chili, Cumin, Baking Soda, Salt, Sunflower Oil",Total in 40 M,"Combine oats flour, chopped fenugreek leaves, curd, turmeric, red chili, cumin, baking soda, salt, and sunflower oil to make a smooth batter. Steam until firm, cool slightly, cut into pieces, and serve with chutney.","Steamed, high-fiber, and protein-rich snack with low impact on glucose.",2.5,2
Vegetable quinoa idiyappam(string hoppers),170,6,25,"Astringent, Salty","Quinoa Flour, Carrot, Beans, Capsicum, Salt, Sunflower Oil",Total in 35 M,"Cook quinoa flour with grated carrot, beans, capsicum, salt, and sunflower oil. Shape into noodles using an idiyappam press. Steam lightly and serve with coconut chutney.",Quinoa provides protein and low-GI carbohydrates for slow energy release.,6,2–3
Stuffed capsicum with moong dal/paneer,200,6,15,"Spicy, Astringent","Capsicum , Moong Dal, Paneer, Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 40 M,"Hollow out capsicums and stuff with cooked moong dal and crumbled paneer, seasoned with turmeric, red chili, cumin, and salt. Bake or steam until soft and serve warm.",High-protein filling and fiber-rich capsicum keep sugar levels steady.,2.5,2
Foxtail millet idiyappam,180,5,25,"Astringent, Salty","Foxtail Millet Flour, Salt, Sunflower Oil",Total in 30 M,"Mix foxtail millet flour, salt, and hot water into soft dough. Press through idiyappam mold to make thin strings. Steam until cooked and serve with curry or chutney.",Low-GI millet helps control post-meal glucose and promotes satiety.,5,2
Buckwheat vegetable pancakes,190,6,22,"Astringent, Spicy","BuckWheat, Carrot, Beans, Capsicum, Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 25 M,"Mix buckwheat flour with grated carrot, beans, and capsicum. Add turmeric, red chili, cumin, salt, and sunflower oil. Form a smooth batter, pour onto a pan, and cook both sides until golden. Serve with chutney.","Buckwheat is low-GI and high in fiber; combined with veggies, ideal for diabetics.",4,2–3
Moringa ragi balls,80,4,20,"Bitter, Astringent","Ragi Flour , Moringa Leaves Powder.",Total in 30 M,"Mix ragi flour with moringa leaf powder and hot water to make soft dough. Shape into small balls, steam until firm, and serve with sambar or chutney.",Ragi’s calcium and low GI combined with moringa leaves supports blood sugar control.,1.5,2
Drumstick leaf soup,150,3,6,"Bitter, Spicy","Drumstick Leaves , Toor Dal, Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 20 M,"Boil drumstick leaves with toor dal, turmeric, red chili, cumin, and salt. Blend lightly and strain if desired. Simmer with sunflower oil and pepper. Serve hot as a soup.","Low-calorie, fiber-rich soup with drumstick leaves reduces glycemic load.",4,2–3
Bitter gourd&lentil patties,140,6,15,"Bitter, Astringent","Bitter Gourd , Moong, Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 30 M,"Mix bitter gourd, moong, turmeric, red chili, cumin, salt, and sunflower oil. Shape into small patties and bake or pan-fry until golden. Serve with chutney.",Protein and fiber-rich lentil patties with karela help regulate glucose.,2,2–3
Ridge gourd dal,160,5,12,"Astringent, Salty","Ridge Gourd , Toor Dal, Onion , Tomato, Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 25 M,"Cook toor dal until soft. Heat sunflower oil, sauté onion, tomato, and ridge gourd with turmeric, red chili, cumin, and salt. Add cooked dal, mix well, and simmer until tender. Serve warm.","Low-calorie, high-fiber ridge gourd with dal slows sugar absorption.",2.5,2
Ash gourd upma,120,5,25,"Astringent, Salty","Ash Gourd , Semolina, Curry Leaves, Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 25 M,"Grate ash gourd. Heat sunflower oil, add curry leaves, turmeric, red chili, cumin, and salt. Add roasted semolina and cook with water until soft and fluffy. Serve warm.","Low-carb, high-water content vegetable with millet/semi grains reduces GI.",5,2
Colocasia stem stir fry,180,3,10,"Spicy, Astringent","Colocasia Stems, Onion , Tomato , Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 20 M,"Peel and chop colocasia stems. Heat sunflower oil, add cumin, turmeric, red chili, and salt. Add onion and tomato, sauté, then stir in stems. Cook until tender and serve with grated coconut.",Fiber-rich stems with minimal oil support slow digestion and glucose stability.,6,2–3
Fenugreek millet dosa,180,6,20,"Bitter, Astringent","Millet Flour, Fenugreek, Spices Turmeric, Red Chili, Cumin, Salt, Sunflower Oil",Total in 25 M,"Grind soaked millet with fenugreek leaves, turmeric, red chili, cumin, salt, and sunflower oil to make dosa batter. Ferment, pour thinly on tawa, cook both sides until crisp, and serve.",Fenugreek and millet lower postprandial glucose and increase satiety.,3,2
Millet pongal,220,6,35,"Astringent, Salty","Millet, Moong Dal, Ginger, Black Pepper",Total in 15 M,"Dry roast millet and moong dal for 2 minutes. Boil with water, ginger, black pepper, and salt until soft. Add ghee and serve hot.","Low GI; fiber-rich, protein-rich, supports steady glucose levels.",4,2
Foxtail millet upma,230,6,37,"Astringent, Salty","Foxtail Millet, Carrot, Beans, Peas, Onion",Total in 12 M,"Roast foxtail millet briefly. Heat oil, add mustard seeds, curry leaves, and chili. Add chopped onion, carrot, beans, and peas. Pour water and salt, then add millet. Cook until fluffy.",Low GI; helps regulate blood sugar with slow-digesting carbohydrates.,3,2
Ragi porridge,120,3,23,"Bitter, Astringent","Ragi, Milk",Total in 10 M,"Mix ragi with milk or water and cook on low flame, stirring to prevent lumps. Add salt or sweetener as desired and serve warm.",Low GI; contains complex carbs to support stable glucose levels.,2,1
Barnyard millet idli,80,2,16,"Astringent, Salty","Barnyard Millet, Urad Dal",Total in 20 M,"Soak barnyard millet and urad dal for 4 hours. Grind to smooth batter, add salt, and ferment overnight. Pour into idli molds, steam 10–12 minutes, and serve.","Low GI; fiber-rich, helps control blood sugar spikes.",2.5,3–4
Kodo millet dosa,120,3,22,"Astringent, Salty","Kodo Millet, Urad Dal",Total in 18 M,"Soak kodo millet and urad dal for 4–6 hours. Grind, add salt, and ferment. Heat pan, pour thin batter, and cook till crisp. Serve hot.",Low GI; helps maintain steady glucose release.,3,2
Little millet khichdi,200,6,32,"Astringent, Salty","Little Millet, Moong Dal, Carrot, Beans",Total in 20 M,"Wash little millet and moong dal. Heat oil, add cumin, ginger, and green chili. Add carrot, beans, water, and salt. Add millet and dal, cook till soft, and serve.",Low GI; fiber slows sugar absorption and prevents spikes.,3,2–3
Pearl millet roti,110,3,20,"Astringent, Salty",Pearl Millet Flour,Total in 12 M,"Mix pearl millet flour with water and a pinch of salt to make dough. Roll into flatbreads, cook both sides on tawa, and serve.",Low GI; complex carbohydrates support blood sugar stability.,2.5,2
Amaranth paratha,150,4,25,"Astringent, Salty","Amaranth Flour, Wheat, Spinach, Green Chilies, Ginger, Cumin Seeds, Salt, Groundnut Oil",Total in 15 M,"Mix amaranth flour, wheat, spinach, green chili, ginger, cumin seeds, and salt. Add water to form dough. Roll into rotis, cook both sides with groundnut oil, and serve.","Low GI; fiber-rich, supports slow glucose release.",4,2
Buckwheat dosa,130,4,24,"Astringent, Spicy","Buckwheat Groats, Urad Dal, Fenugreek Seeds, Salt, Sunflower Oil",Total in 15 M,"Soak buckwheat groats, urad dal, and fenugreek seeds for 4 hours. Grind to smooth batter, add salt, and ferment overnight. Pour thinly on tawa with sunflower oil, cook till crisp, and serve.",Low GI; provides protein and fiber for blood sugar management.,3,2
Quinoa poha(Vegetable poha),180,6,28,"Astringent, Salty","Quinoa, Onion, Green Chilies, Curry Leaves, Mustard Seeds, Turmeric Powder, Carrot, Peas, Salt, Sesame Oil, Lemon , Coriander Leaves",Total in 10 M,"Rinse quinoa and soak briefly. Heat sesame oil, add mustard seeds, curry leaves, and green chili. Add onion, carrot, and peas, sauté, then add water, salt, and quinoa. Cook till fluffy. Garnish with lemon and coriander leaves.",Very low GI; high protein and low carb content stabilize blood sugar.,4,1
Vegetable quinoa upma,200,7,30,"Spicy, Astringent","Quinoa, Onion, Carrot, Beans, Peas, Capsicum, Tomato, Mustard Seeds, Cumin Seeds, Green Chilies, Ginger, Curry Leaves, Turmeric Powder, Salt, Oil, Coriander Leaves, Lemon ",Total in 15 M,"Roast quinoa for 2 minutes. Heat oil, temper mustard seeds, curry leaves, and green chili. Add onion, carrot, beans, peas, capsicum, and tomato. Add turmeric, salt, water, and quinoa. Cook till fluffy, garnish with lemon and coriander.","Very low GI; protein-rich, slows glucose absorption.",3.5,2
Oats vegetable chilla,160,5,22,"Spicy, Astringent","Oats, Onion, Tomato, Green Chilies, Carrot, Capsicum, Coriander Leaves, Cumin Seeds, Salt, Sunflower Oil",Total in 12 M,"Mix oats, chopped onion, tomato, green chili, carrot, capsicum, coriander leaves, cumin seeds, and salt. Add water to form batter. Cook spoonfuls on a hot pan with sunflower oil until golden. Serve.","Very low GI; protein-rich, helps regulate post-meal glucose.",4,2
Besan chilla,180,9,20,"Spicy, Astringent","Besan , Onion, Tomato, Green Chilies, Coriander Leaves, Cumin Seeds, Turmeric Powder, Salt, Groundnut Oil",Total in 10 M,"Mix besan, chopped onion, tomato, green chili, coriander, cumin seeds, turmeric, salt, and water into smooth batter. Cook spoonfuls on a hot tawa with groundnut oil. Flip and serve hot.",Low GI; protein and fiber combination supports blood sugar control.,4,2
Green gram dosa,150,8,22,"Spicy, Astringent","Green Gram , Ginger, Green Chilies, Curry Leaves, Coriander Leaves, Cumin Seeds, Salt, Sesame Oil",Total in 15 M,"Soak green gram 4–6 hours, grind to smooth batter with ginger, green chili, curry leaves, coriander, cumin seeds, and salt. Cook thin dosas on a hot pan using sesame oil until crisp. Serve with chutney.","Low GI; fiber-rich, slows sugar absorption.",3.5,2
Ragi dosa,140,4,26,"Spicy, Astringent","Ragi Flour, Urad Dal, Fenugreek Seeds, Salt, Sunflower Oil",Total in 15 M,"Mix ragi flour, urad dal, fenugreek seeds, and salt with water to form a smooth batter. Heat sunflower oil on a pan, pour a thin layer of batter, spread evenly, cook for 2–3 minutes, flip, and serve hot with chutney or sambar.","Low GI; high fiber, helps maintain stable blood sugar.",3,2
Moong dal cheela,170,9,20,"Bitter, Spicy","Moong Dal, Ginger, Green Chilies, Coriander Leaves, Cumin Seeds, Salt, Groundnut Oil",Total in 10 M,"Soak moong dal for 4–6 hours, then grind to a smooth batter. Add ginger, green chilies, coriander leaves, cumin seeds, and salt. Heat groundnut oil on a pan, pour thin batter, spread evenly, cook both sides till golden, and serve hot.","Low GI; protein-rich, helps slow sugar absorption.",3.5,2
Spinach omelette,150,10,2,"Spicy, Astringent","Spinach, Eggs, Onion, Tomato, Green Chilies, Black Pepper, Salt, Sunflower Oil",Total in 12 M,"Beat eggs with chopped spinach, onion, tomato, green chilies, salt, and black pepper. Heat sunflower oil on a pan, pour mixture, cook till edges firm, flip carefully, and serve hot.","Low GI; high protein and fiber, regulates glucose levels.",5,1–2
