Recipe Name,Ingredients,Preparation Time,Calories,Protein (g),Fat (g),Carbohydrates (g),Taste,Health Tags,Description,Instructions
Almond Milk Smoothie,"Almonds, Milk, Banana, Honey (Optional), Cinnamon",10 min,180,6,9,20,Sweet,Heart Disease; Weight Gain; Skin & Hair Problems,Nutrient-dense smoothie with healthy fats from almonds and vitamins from banana; supports skin and cardiovascular health.,"1. Soak almonds, blend with milk, banana, honey, cinnamon till smooth. 2. Serve chilled."
Sweet Potato Halwa,"Sweet Potatoes, Jaggery, Ghee, Cardamom Powder, Cashew Nuts",40 min,300,4,12,45,Sweet,Vitamin Deficiency; Weight Gain; Bone Health,Healthy dessert rich in vitamins and antioxidants; provides energy and supports bone health with ghee.,"1. Boil and mash sweet potatoes. 2. Heat ghee, add mashed sweet potatoes, jaggery, cardamom; stir till thick. 3. Garnish with cashews; serve warm."
Pumpkin Soup,"Pumpkin, Ginger, Garlic, Black Pepper, Salt, Coconut Cream (Optional)",30 min,150,3,8,20,"Savory, Mild",Eye Health; Anti-inflammatory; Vitamin Deficiency,Pumpkin rich in beta-carotene supports vision; ginger and garlic provide anti-inflammatory benefits.,"1. Boil chopped pumpkin with ginger and garlic. 2. Blend till smooth. 3. Heat soup, season with salt, pepper; add coconut cream if desired. Serve warm."
Muttai Kulambu (Egg Curry),"Eggs, Tomatoes, Onions, Mustard Seeds, Curry Leaves, Chili, Tamarind Paste, Oil",40 min,250,14,15,8,"Spicy, Savory",Protein Deficiency; Diabetes; Heart Disease,Protein-packed curry supporting muscle repair and stable blood sugar; tomato base aids heart health.,"1. Boil eggs, peel. 2. Heat oil, temper mustard seeds, curry leaves, chili. 3. Saut� onions, tomatoes, tamarind. 4. Add boiled eggs, simmer 10 min; serve hot."
Chia Seed Pudding,"Chia Seeds, Milk, Honey (Optional), Vanilla Essence",8 hours overnight,180,5,8,20,Sweet,Diabetes; Weight Management; Skin & Hair Problems,Chia seeds provide fiber and omega-3; milk adds protein and calcium; supports weight control and skin health.,"1. Mix chia seeds with milk, honey, vanilla. 2. Refrigerate overnight. 3. Stir before serving, garnish as desired."
Guava Salad,"Guava, Black Salt, Chaat Masala, Lemon (Use Lemon From List), Coriander Leaves",10 min,60,2,1,15,"Tangy, Savory",Vitamin Deficiency; Immune Support; Eye Health,Vitamin C-rich guava boosts immunity; added spices support digestion and antioxidant defense.,"1. Chop guava, sprinkle black salt, chaat masala, lemon juice, coriander. 2. Toss and serve fresh."
Baby Corn Stir Fry,"Baby Corn, Capsicum, Garlic, Mustard Seeds, Cumin Powder, Salt, Sunflower Oil",20 min,110,3,5,12,"Savory, Spicy",Digestive Problems; Heart Health; Weight Management,Fiber rich baby corn stir fry with spices supports digestion and heart health.,"1. Heat oil, temper mustard seeds. 2. Saut� garlic, baby corn, capsicum. 3. Sprinkle cumin powder, salt; cook 5 min; serve hot."
Mutton Soup,"Mutton, Garlic, Onions, Pepper, Salt, Bay Leaf, Water",1 hour,300,25,18,5,"Savory, Pungent",Weight Gain; Joint Problems; Immune Support,Nutritious protein-rich soup for muscle repair and joint health; garlic acts as immune booster.,"1. Boil mutton with garlic, onions, bay leaf, salt, pepper in water 60 min till tender. 2. Strain and serve hot."
Pumpkin and Coconut Curry,"Pumpkin, Coconut, Mustard Seeds, Curry Leaves, Green Chili, Turmeric Powder, Salt, Canola Oil",30 min,180,4,10,20,"Savory, Mild",Digestion; Heart Disease; Skin & Hair Health,"Pumpkin and coconut provide fiber and healthy fats, support digestion and skin nourishment.","1. Heat oil, temper mustard seeds, curry leaves, chili. 2. Add chopped pumpkin and turmeric, salt; cook 15 min. 3. Add grated coconut, cook 5 min; serve warm."
Masala Oats,"Oats, Mustard Seeds, Green Chili, Curry Leaves, Turmeric, Salt, Canola Oil",20 min,190,6,7,28,Spicy,Diabetes; Weight Management; Heart Disease,"High fiber oats with spices provide sustained energy, improve digestion, and support heart health.","1. Heat oil, temper mustard seeds, chili, curry leaves, turmeric. 2. Add oats and water, salt; cook till thick. Serve hot."
Beetroot Pachadi,"Beetroot, Yogurt, Mustard Seeds, Green Chili, Salt, Oil",15 min,120,4,5,12,Mild,Anemia; Skin & Hair Problems; Digestive Problems,"Nutrient-rich beetroot with probiotic yogurt helps anemia, skin health, and digestion.","1. Boil grated beetroot. 2. Mix with yogurt. 3. Heat oil, temper mustard seeds and chili; add to mixture. Serve cold."
Carrot Ginger Soup,"Carrots, Ginger, Garlic, Salt, Water, Butter",30 min,140,3,6,20,Mild,Anti-inflammatory; Eye Health; Vitamin Deficiency,Soothing carrot and ginger soup rich in antioxidants; helps inflammation and vision.,"1. Boil carrots, ginger, garlic in water. 2. Blend smooth. 3. Heat butter in pan, add soup, salt; warm and serve."
Brown Rice Lemon Rice,"Brown Rice, Mustard Seeds, Green Chili, Curry Leaves, Turmeric, Salt, Olive Oil",25 min,220,6,8,38,Tangy,Diabetes; Heart Disease; Digestive Problems,Brown rice adds fiber with lemon flavor enhancing digestion and cardiovascular benefits.,"1. Cook brown rice. 2. Heat oil, temper mustard seeds, chili, curry leaves, turmeric. 3. Add rice, salt, lemon juice; mix well; serve warm."
Drumstick Poriyal,"Drumstick Pods, Mustard Seeds, Urad Dal, Dried Chili, Salt, Sesame Oil",20 min,90,3,5,10,Spicy,Diabetes; Anemia; Digestive Problems,"High fiber drumstick stir fry rich in iron, supporting anemia and digestion.","1. Heat oil, temper mustard seeds, urad dal, chili. 2. Add chopped drumstick, salt; cook till tender. Serve hot."
Paneer Butter Masala,"Paneer, Tomatoes, Butter, Cream, Garam Masala, Salt, Olive Oil",35 min,280,14,22,10,"Savory, Mild",Weight Gain; Bone & Joint Problems; Skin Health,Rich creamy paneer curry supporting muscle and bone health; butter and cream enhance skin nourishment.,"1. Heat oil, saut� tomatoes, garam masala. 2. Add cream, butter; cook. 3. Add paneer, salt; simmer 10 min; serve hot."
Mango Lassi,"Mango, Yogurt, Sugar, Cardamom, Water",10 min,180,5,4,35,Sweet,Vitamin Deficiency; Digestive Problems; Skin Health,"Refreshing mango yogurt drink rich in antioxidants and probiotics, supports digestion and skin glow.","1. Blend mango, yogurt, sugar, cardamom, water till smooth. 2. Serve chilled."
Green Gram Sundal,"Green Gram, Mustard Seeds, Green Chili, Curry Leaves, Salt, Flaxseed Oil",25 min,150,9,5,25,Savory,Diabetes; Heart Disease; Weight Management,Protein-rich green gram stir fry with healthy flaxseed oil supports heart and weight health.,"1. Boil green gram. 2. Heat oil, temper mustard seeds, chili, curry leaves. 3. Add green gram, salt; cook 5 min; serve warm."
Papaya Salad,"Papaya, Lemon, Black Salt, Chili Powder, Coriander Leaves",10 min,50,1,0,12,"Tangy, Spicy",Vitamin Deficiency; Digestive Problems; Skin Health,Fresh papaya salad rich in vitamins and antioxidants; aids digestion and skin regeneration.,"1. Grate papaya. 2. Toss with lemon juice, black salt, chili powder, coriander; serve fresh."
Drumstick Sambar,"Toor Dal, Drumstick Pods, Tamarind Paste, Mustard Seeds, Curry Leaves, Sambar Powder, Salt, Sunflower Oil",40 min,160,8,3,22,"Spicy, Tangy",Diabetes; Heart Disease; Anemia,"Drumsticks provide iron and potassium; lentils add protein, supporting heart health and anemia management.","1. Pressure cook dal and drumstick. 2. Prepare tamarind water. 3. Heat oil, temper mustard seeds, curry leaves. 4. Combine all with sambar powder; simmer 10 min; serve hot."
Sambar,"Toor Dal, Tamarind Paste, Drumstick, Mustard Seeds, Curry Leaves, Sambar Powder, Salt, Sunflower Oil",40 min,160,8,3,22,"Spicy, Tangy",Diabetes; Heart Disease; Digestive Problems,"Protein and fiber rich lentil stew with vegetables; supports digestion, heart health, and blood sugar control.","1. Pressure cook dal and drumstick. 2. Prepare tamarind water. 3. Heat oil, temper mustard seeds, curry leaves. 4. Mix all and add sambar powder; simmer 10 min. Serve hot."
Cabbage Poriyal,"Cabbage, Mustard Seeds, Urad Dal, Dried Red Chili, Curry Leaves, Salt, Sunflower Oil",20 min,110,3,5,15,Savory,Digestive Problems; Weight Management; Heart Disease,Fiber-rich stir fry aiding digestion and weight control.,"1. Heat oil, temper mustard seeds, urad dal, chili, curry leaves. 2. Add chopped cabbage and salt; saut� till tender. Serve hot."
Vegetable Kurma,"Carrots, Beans, Potatoes, Coconut, Green Chili, Mustard Seeds, Turmeric, Salt, Sunflower Oil",30 min,180,5,8,30,"Savory, Mild",Diabetes; Heart Disease; Weight Management,Mixed vegetable curry rich in fiber and healthy fats; supports blood sugar management and heart health.,"1. Heat oil, temper mustard seeds. 2. Saut� chopped veggies and turmeric. 3. Add coconut paste and salt; simmer till cooked. Serve hot."
Ragi Roti,"Ragi Flour, Salt, Water",15 min,150,4,1,32,Savory,Diabetes; Bone & Joint Problems; Weight Management,Gluten-free flatbread high in fiber and calcium; supports blood sugar and bone health.,"1. Mix ragi flour, salt, water to knead dough. 2. Roll into flatbreads. 3. Cook on tava/flat pan both sides; serve warm."
Moong Dal Sundal,"Moong Dal, Mustard Seeds, Curry Leaves, Dried Red Chili, Salt, Sunflower Oil",25 min,150,8,5,22,"Savory, Mild",Diabetes; Heart Disease; Weight Management,High-protein lentil stir fry supporting diabetes control and heart health.,"1. Boil moong dal. 2. Heat oil, temper mustard seeds, curry leaves, chili. 3. Add boiled dal and salt; saut� 5 min; serve warm."
Potato Curry,"Potatoes, Mustard Seeds, Curry Leaves, Green Chili, Turmeric, Salt, Sunflower Oil",25 min,140,3,4,28,"Savory, Spicy",Diabetes; Weight Management; Heart Disease,Simple potato curry rich in carbs for energy; spices support digestion and metabolism.,"1. Heat oil, temper mustard seeds and curry leaves. 2. Add chopped potatoes, chili, turmeric, salt; cook till tender. Serve hot."
Tomato Pachadi,"Tomatoes, Yogurt, Mustard Seeds, Green Chili, Salt, Sunflower Oil",15 min,120,4,5,13,"Tangy, Mild",Digestive Problems; Heart Disease,Tangy yogurt-based tomato side dish with antioxidants and probiotics for digestion and heart health.,"1. Boil chopped tomatoes. 2. Mix with yogurt. 3. Heat oil, temper mustard seeds and chili; add to mixture. Serve chilled."
Lentil Sundal,"Kidney Beans, Mustard Seeds, Cumin, Curry Leaves, Dried Red Chili, Salt, Sunflower Oil",30 min,170,9,4,28,"Savory, Mild",Diabetes; Heart Disease; Protein Deficiency,High protein and fiber kidney beans stir-fry; aids blood sugar stabilization and muscular health.,"1. Boil kidney beans. 2. Heat oil, temper mustard seeds, cumin, curry leaves, chili. 3. Add beans and salt; saut� 5 min; serve warm."
Tomato Rice,"Cooked Rice, Tomatoes, Mustard Seeds, Green Chili, Curry Leaves, Turmeric, Salt, Sunflower Oil",25 min,240,5,6,43,"Tangy, Spicy",Diabetes; Heart Disease; Digestive Problems,Fiber-rich tomato rice promoting digestion and heart health with antioxidant tomatoes and spices.,"1. Heat oil, temper mustard seeds, curry leaves, chili. 2. Add chopped tomatoes, turmeric, salt; cook soft. 3. Mix in rice; stir well; serve warm."
Beetroot Poriyal,"Beetroot, Mustard Seeds, Urad Dal, Dried Red Chili, Curry Leaves, Salt, Sunflower Oil",20 min,90,3,4,10,"Savory, Mild",Anemia; Skin Health; Digestive Problems,Nutritious beetroot stir fry rich in iron and antioxidants; supports blood and skin health.,"1. Heat oil, temper mustard seeds, urad dal, chili, curry leaves. 2. Add grated beetroot and salt; cook till tender. Serve warm."
Oats Idli,"Oats Flour, Urad Dal, Salt, Water, Olive Oil",7-8 hrs ferment + 20 min,140,5,2,25,"Savory, Mild",Diabetes; Weight Management; Heart Disease,Low glycemic idli option with oats for fiber and protein; promotes heart and weight health.,"1. Soak urad dal and grind. 2. Mix with oats flour, salt, and water; ferment overnight. 3. Steam batter 15-20 min; serve hot with chutney."
Mixed Vegetable Sambar,"Toor Dal, Tamarind Paste, Carrots, Beans, Pumpkin, Mustard Seeds, Curry Leaves, Sambar Powder, Salt, Sunflower Oil",45 min,170,9,3,26,"Spicy, Tangy",Diabetes; Heart Disease; Digestive Problems,Protein and fiber-rich lentil stew with mixed vegetables; supports digestion and heart function.,"1. Pressure cook dal and veggies. 2. Prepare tamarind water. 3. Heat oil, temper mustard seeds, curry leaves. 4. Combine all with sambar powder; simmer 10 min. Serve hot."
Pumpkin Poriyal,"Pumpkin, Mustard Seeds, Urad Dal, Dried Red Chili, Curry Leaves, Salt, Sunflower Oil",20 min,90,3,5,12,"Savory, Mild",Vitamin Deficiency; Digestive Problems,"Simple pumpkin stir fry rich in fiber, vitamins; supports digestion and vitamin supply.","1. Heat oil, temper mustard seeds, urad dal, chili, curry leaves. 2. Add chopped pumpkin and salt; cook till tender. Serve warm."
Fish Curry (Salmon),"Salmon Fish, Mustard Seeds, Curry Leaves, Tamarind Paste, Green Chili, Turmeric, Salt, Sesame Oil",30 min,250,22,15,2,"Spicy, Savory",Heart Disease; Diabetes; Weight Management,Rich omega-3 fatty acid salmon curry supports heart health and weight management.,"1. Heat oil, temper mustard seeds, curry leaves, chili. 2. Add tamarind, turmeric, salt; simmer. 3. Add salmon pieces, cook 15 min till done; serve hot."
Egg Bhurji,"Eggs, Onions, Green Chili, Turmeric, Salt, Canola Oil",20 min,220,14,15,5,"Savory, Spicy",Protein Deficiency; Diabetes; Weight Management,High protein scrambled egg dish supporting muscle repair and blood sugar control.,"1. Heat oil, saut� onions and chili. 2. Add beaten eggs, turmeric, salt; scramble till cooked. Serve hot."
Chapati,"Wheat Flour, Salt, Water, Ghee",20 min,150,5,3,30,Savory,Diabetes; Digestive Problems; Weight Management,Whole wheat flatbread with low glycemic index; supports digestion and helps in weight management.,1. Knead flour with salt and water. 2. Roll thin rotis and cook on tava till golden spots; apply ghee if desired. Serve warm.
Mint Chutney,"Mint Leaves, Coriander Leaves, Green Chili, Garlic, Salt, Lemon (From List), Olive Oil",10 min,50,1,4,6,"Spicy, Tangy",Digestive Problems; Skin & Hair Health,Fresh and spicy chutney rich in antioxidants and vitamins; supports digestion and skin health.,"1. Blend mint, coriander, chili, garlic, salt, lemon juice with oil to a paste; serve fresh."
Sweet Corn Soup,"Sweet Corn, Vegetable Broth, Black Pepper, Salt, Ghee",25 min,120,3,5,18,"Mild, Savory",Digestive Problems; Weight Management,Light soup rich in fiber and antioxidants; aids digestion and weight control.,"1. Boil sweet corn in broth. 2. Blend slightly, season with salt, pepper. 3. Heat ghee, add to soup. Serve warm."
Tomato Pachadi,"Tomatoes, Yogurt, Mustard Seeds, Green Chili, Salt, Olive Oil",15 min,120,4,5,13,"Tangy, Mild",Digestive Problems; Heart Disease,Tangy yogurt-based dish with antioxidants and probiotics; good for digestion and heart health.,"1. Boil tomatoes. 2. Mix with yogurt. 3. Temper mustard seeds, chili in oil; add to yogurt mix. Serve chilled."
Beetroot Poriyal,"Beetroot, Mustard Seeds, Urad Dal, Dried Red Chili, Curry Leaves, Salt, Avocado Oil",20 min,90,3,6,10,"Savory, Mild",Anemia; Skin Health; Digestive Problems,Nutritious beetroot stir fry with iron and antioxidants supporting blood and skin health.,"1. Heat oil, temper mustard seeds, urad dal, chili, curry leaves. 2. Add grated beetroot and salt; cook till tender. Serve warm."
Jackfruit Stir Fry,"Jackfruit, Mustard Seeds, Dried Red Chili, Curry Leaves, Salt, Sesame Oil",20 min,120,3,6,18,Savory,Diabetes; Weight Management; Digestive Problems,Young jackfruit rich in fiber and low calories; supports digestion and weight control.,"1. Heat oil, temper mustard seeds, chili, curry leaves. 2. Add shredded jackfruit, salt; saut� until cooked and slightly crisp. Serve hot."
Drumstick Leaves Curry,"Drumstick Leaves, Garlic, Mustard Seeds, Dried Red Chili, Tamarind Paste, Salt, Avocado Oil",25 min,130,7,7,10,Spicy,Anemia; Diabetes; Heart Disease,Nutrient-dense drumstick leaves curry rich in iron and antioxidants; supports anemia and heart health.,"1. Heat oil, temper mustard seeds, chili, garlic. 2. Add washed drumstick leaves, tamarind paste, salt; cook till tender. Serve warm."
Berry Smoothie,"Blueberries, Strawberries, Yogurt, Honey (Optional), Flaxseed Oil",10 min,150,5,5,25,Sweet,Anti-inflammatory; Heart Disease; Skin Health,Antioxidant-packed berry smoothie with creamy yogurt and healthy flaxseeds for skin and heart benefits.,1. Blend all ingredients until smooth; serve chilled.
Green Beans Poriyal,"Green Beans, Mustard Seeds, Urad Dal, Dried Red Chili, Coconut, Salt, Sunflower Oil",20 min,110,3,6,14,Savory,Diabetes; Heart Disease; Weight Management,High fiber green beans with coconut; supports heart and weight health.,"1. Heat oil, temper mustard seeds, urad dal, chili. 2. Add chopped beans, salt; cook till tender. 3. Mix in grated coconut; serve warm."
Paneer Salad,"Paneer, Cucumber, Onions, Tomatoes, Salt, Black Pepper, Olive Oil",15 min,220,14,14,8,Savory,Diabetes; Weight Gain; Bone & Joint Problems,"Protein-rich paneer salad with fresh veggies; good for muscle, bone health, and balanced blood sugar.","1. Cube paneer and vegetables. 2. Toss with salt, pepper, and olive oil; serve fresh."
Tomato Egg Curry,"Eggs, Tomatoes, Onion, Garam Masala, Mustard Seeds, Oil, Salt",35 min,260,16,14,10,"Spicy, Savory",Protein Deficiency; Diabetes; Heart Disease,Protein-packed egg curry with heart-healthy spices; good for muscle repair and diabetes.,"1. Boil eggs, peel. 2. Heat oil, temper mustard seeds. 3. Saut� onions, add garam masala, tomatoes, salt; cook till soft. 4. Add eggs; simmer 10 min. Serve hot."
Sweet Potato Chutney,"Sweet Potatoes, Mustard Seeds, Dried Red Chili, Salt, Coconut Oil",20 min,140,3,7,25,"Sweet, Mild",Diabetes; Weight Management; Digestive Problems,Sweet potato chutney rich in fiber and vitamins; aids digestion and blood sugar control.,"1. Boil and mash sweet potatoes. 2. Heat oil, temper mustard seeds, chili. 3. Mix potatoes and tempering with salt; cook 5 min; serve warm."
Spinach Dal Soup,"Toor Dal, Spinach, Mustard Seeds, Garlic, Dried Red Chili, Salt, Sunflower Oil",30 min,130,9,2,18,"Savory, Mild",Anemia; Heart Disease; Bone & Joint Problems,Iron-rich spinach and protein-packed dal soup; supports anemia and joint health.,"1. Pressure cook dal. 2. Heat oil, temper mustard seeds, garlic, chili. 3. Add chopped spinach, salt; cook till wilted. 4. Add dal; simmer 5 min; serve hot."
Avocado Smoothie,"Avocado, Banana, Milk, Honey, Cinnamon",10 min,210,5,13,22,"Sweet, Mild",Heart Disease; Eye Health; Skin & Hair Problems,Creamy avocado smoothie rich in healthy fats and vitamins supporting cardiovascular and skin health.,1. Blend all ingredients until smooth; serve chilled.
Pumpkin Seeds Laddu,"Pumpkin Seeds, Jaggery Powder, Ghee",30 min,250,8,14,20,Sweet,Bone & Joint Problems; Diabetes; Weight Gain,Nutrient-dense laddu rich in minerals and healthy fats; supports bone health and energy levels.,1. Dry roast pumpkin seeds; grind coarsely. 2. Heat jaggery in ghee till syrup. 3. Mix seeds into syrup; shape laddus while warm; cool before serving.
