Food Name,Calories,Protein_g,Carbohydrates_g,taste,Ingredients,prep_time,Instruction,Description,Fat,No_serving,
Smoked Hilsa with Mustard,320,24,8,"Bitter, Astringent","Hilsa Fish, Mustard Seeds, Mustard Oil, Green Chili, Turmeric Powder, Banana Leaf, Salt",Total in 45 M,"Make mustard paste; coat hilsa with mustard paste, green chili, turmeric, salt, and mustard oil; wrap in banana leaf and steam until fish is cooked through.","DHA and vitamin A in Hilsa, mustard adds antioxidants; supports retinal function.",7,1,
Palak Dal (Spinach with Toor Dal),250,12,18,"Bitter, Astringent","Toor Dal, Spinach Leaves, Onion, Tomato, Garlic, Green Chili, Turmeric Powder, Sunflower Oil, Salt",Total in 35 M,"Cook toor dal with turmeric and salt; heat sunflower oil and sauté garlic, onion, and green chili; add tomato and spinach to wilt; combine with dal, simmer, and adjust salt.",Spinach provides lutein and zeaxanthin; dal gives protein; supports eye tissues and reduces oxidative stress.,5,2,
Palak Paneer,360,18,6,"Bitter, Sweet","Paneer, Spinach Leaves, Onion, Tomato, Garlic, Ginger, Green Chili, Cumin Seeds, Sunflower Oil, Salt",Total in 30 M,"Heat sunflower oil; crackle cumin; sauté garlic, ginger, onion, and green chili; add tomato and spinach; add paneer and salt; simmer briefly and finish to desired consistency.",Lutein-rich spinach with protein from paneer; helps maintain retinal health.,12,2,
Sarson da Saag,220,8,4,"Bitter, Astringent, Salty","Mustard Leaves, Spinach Leaves, Bathua Leaves, Garlic, Ginger, Green Chili, Maize Flour, Mustard Oil, Salt",Total in 50 M,"Boil mustard, spinach, and bathua until soft; mash; simmer with ginger, garlic, and green chili; sprinkle maize flour to thicken; finish with hot mustard oil and salt.",Mustard greens are high in vitamin A and beta-carotene; protects eyes from free radical damage.,8,1,
Drumstick Leaves Stir Fry (Murungai Keerai Poriyal),140,6,1,"Bitter, Astringent","Drumstick Leaves, Onion, Garlic, Green Chili, Grated Coconut, Mustard Seeds, Coconut Oil, Salt",Total in 25 M,"Heat coconut oil; splutter mustard seeds; sauté onion, garlic, and green chili; add chopped drumstick leaves, grated coconut, and salt; toss on low heat until just cooked.",Rich in beta-carotene and vitamin A; helps maintain good vision and night vision.,4,2,
Spinach Raita,120,5,4,"Bitter, Astringent","Spinach Leaves, Curd, Green Chili, Cumin Powder, Sunflower Oil, Salt",Total in 40 M,"Blanch and chop spinach; whisk curd with cumin powder and salt; temper chopped green chili in a little sunflower oil, cool, and fold into spinach-curd mixture.",Spinach provides lutein and zeaxanthin; supports eye tissue health.,3,2,
Methi Thepla,260,6,12,"Bitter, Astringent, Salty","Wheat Flour, Fenugreek Leaves, Green Chili, Garlic, Ginger, Curd, Turmeric Powder, Sunflower Oil, Salt",Total in 40 M,"Mix finely chopped fenugreek leaves, green chili, garlic, ginger, curd, turmeric, oil, salt, and water into wheat flour; rest; roll thin; cook theplas/parathas on tawa with sunflower oil.",Provides lutein and zeaxanthin; yogurt aids nutrient absorption; supports macular health.,6,1,
Bathua Saag,200,8,1,"Bitter, Astringent, Salty","Bathua Leaves, Onion, Tomato, Garlic, Ginger, Green Chili, Mustard Oil, Salt",Total in 25 M,"Heat mustard oil; sauté onion, garlic, ginger, and green chili; add tomato and chopped bathua; cook until wilted; season with salt.",Fenugreek leaves provide vitamin A and antioxidants; helps prevent retinal degeneration.,5,2,
Amaranth Leaves Stir Fry (Thandu Keerai Poriyal),140,6,2,"Bitter, Astringent","Amaranth Leaves, Onion, Tomato, Garlic, Green Chili, Mustard Seeds, Coconut Oil, Salt",Total in 35 M,"Heat coconut oil; splutter mustard seeds; sauté onion, garlic, and green chili; add tomato and chopped amaranth; cook until tender; season with salt.",Rich in beta-carotene and lutein; supports night vision and retinal health.,4,2,
Poi Saag with Pumpkin,200,5,3,"Bitter, Astringent, Salty","Poi Saag (Malabar Spinach), Pumpkin, Onion, Garlic, Green Chili, Mustard Seeds, Mustard Oil, Salt",Total in 40 M,"Heat mustard oil; splutter mustard seeds; sauté onion, garlic, and green chili; add pumpkin and poi saag; cook with salt until soft and coated.",High in vitamin A and antioxidants; protects retinal cells.,5,2,
Spinach Paratha,280,6,10,"Bitter, Astringent, Salty","Wheat Flour, Spinach Leaves, Green Chili, Garlic, Sunflower Oil, Salt",Total in 30 M,"Finely chop spinach, green chili, and garlic; knead into wheat flour with salt and water; rest; roll; cook parathas on hot tawa with sunflower oil.","Lutein from leaves, beta-carotene from pumpkin; promotes good vision.",7,3,
Gongura Pachadi,120,2,15,"Bitter, Astringent","Gongura Leaves, Garlic, Green Chili, Red Chili Powder, Mustard Seeds, Sunflower Oil, Salt",Total in 45 M,Heat sunflower oil; splutter mustard seeds; sauté garlic and green chili; add chopped gongura leaves; cook down; add red chili powder and salt; finish with a brief sizzle.,Spinach provides lutein and zeaxanthin; supports eye tissue health.,4,3,
Palak Chole,320,12,22,"Bitter, Astringent, Salty","Chickpeas, Spinach Leaves, Onion, Tomato, Garlic, Ginger, Green Chili, Cumin Seeds, Sunflower Oil, Salt",Total in 35 M,"Pressure-cook chickpeas; heat sunflower oil; crackle cumin; sauté garlic, ginger, onion, and green chili; add tomato, salt, and spinach; add chickpeas and simmer until coated.",Contains antioxidants and beta-carotene; helps reduce oxidative stress in retina.,6,3,
Collard Greens Masala,200,6,3,"Bitter, Astringent","Collard Greens, Onion, Tomato, Garlic, Ginger, Green Chili, Mustard Seeds, Sunflower Oil, Salt",Total in 25 M,"Heat sunflower oil; splutter mustard seeds; sauté onion, tomato, garlic, ginger, and green chili; add chopped collard greens and salt; cook until tender.","Spinach for lutein, chickpeas for zinc; supports retinal repair and eye health.",5,3,
Curry Leaves Chutney,180,2,2,"Bitter, Sweet","Curry Leaves, Tamarind Pulp, Garlic, Green Chili, Red Chili Powder, Mustard Seeds, Coconut Oil, Salt",Total in 20 M,"Heat coconut oil; splutter mustard seeds; sauté garlic and green chili; stir in red chili powder, tamarind pulp, salt, and curry leaves; simmer briefly into a tangy chutney-style sauce.",Rich in beta-carotene and antioxidants; protects macula and lens.,3,2,
Radish Leaves Curry,90,6,15,Sweet,"Radish Leaves, Onion, Tomato, Garlic, Green Chili, Mustard Seeds, Mustard Oil, Salt",Total in 30 M,"Heat mustard oil; splutter mustard seeds; sauté onion, garlic, and green chili; add tomato and chopped radish leaves; cook until tender; season with salt.",High in vitamin A and lutein; supports macular function.,4,2,
Spinach Idli,160,4,2,Sweet,"Idli Rice, Urad Dal, Spinach Leaves, Fenugreek Seeds, Sunflower Oil, Salt",Total in 50 M,"Soak idli rice, urad dal, and fenugreek; grind smooth; ferment; fold in finely chopped spinach and salt; steam idlis or make dosas on a tawa with a little oil.",Contains beta-carotene and antioxidants; improves retinal blood flow.,2,2,
Spinach Pakora,120,6,4,Sweet,"Spinach Leaves, Besan (Gram Flour), Onion, Green Chili, Garlic, Turmeric Powder, Sunflower Oil, Salt",Total in 25 M,"Mix finely chopped spinach, besan, onion, green chili, garlic, turmeric, salt, and water to a thick batter; ladle small pancakes on oiled tawa and cook both sides.",Beta-carotene rich; helps maintain night vision and healthy retina.,6,1,
Mixed Leafy Saag,320,6,18,Sweet,"Spinach Leaves, Amaranth Leaves, Bathua Leaves, Onion, Garlic, Green Chili, Mustard Seeds, Mustard Oil, Salt",Total in 40 M,"Heat mustard oil; splutter mustard seeds; sauté onion, garlic, and green chili; add chopped spinach, amaranth, and bathua; cook until wilted; season with salt.",Lutein from spinach and protein from dal; protects eye tissues.,5,1,
Spinach Upma,200,7,12,"Bitter, Sweet","Rava (Semolina), Spinach Leaves, Onion, Green Chili, Ginger, Sunflower Oil, Salt",Total in 30 M,"Heat sunflower oil; sauté ginger, onion, and green chili; add rava and roast briefly; pour hot water with salt; add chopped spinach; cook until fluffy and set.",Drumstick leaves are vitamin A rich; combined with dal protein supports retina.,5,1,
Palak Khichdi,220,12,6,"Bitter, Astringent","Rice, Moong Dal, Spinach Leaves, Onion, Tomato, Garlic, Green Chili, Turmeric Powder, Ghee, Salt",Total in 35 M,"Wash rice and moong dal; cook with turmeric and salt; in ghee sauté garlic, onion, green chili, and tomato; add spinach to wilt; mix into pot and simmer to khichdi.",Beta-carotene from bottle gourd and protein from dal; supports eye health.,6,2,
Carrot Poriyal,300,3,12,"Bitter, Astringent, Sweet","Carrot, Onion, Garlic, Green Chili, Curry Leaves, Mustard Seeds, Coconut Oil, Salt",Total in 25 M,"Heat coconut oil; splutter mustard seeds and curry leaves; sauté onion, green chili, and garlic; add grated carrot and salt; cook until just tender.",Spinach provides lutein; dal provides protein; supports retinal cells.,4,1,
Carrot Halwa,140,4,15,"Bitter, Astringent","Carrot, Milk, Ghee, Sugar, Cardamom Powder, Cashew Nuts, Raisins",Total in 25 M,Sauté grated carrot in ghee; add milk and reduce until creamy; stir in sugar and cardamom; fold in toasted cashews and raisins.,Provides protein and antioxidants; protects eye tissues from oxidative stress.,8,1,
Pumpkin Curry (Kaddu Ki Sabzi),320,3,12,"Sweet, Astringent","Pumpkin, Onion, Tomato, Garlic, Green Chili, Turmeric Powder, Mustard Seeds, Mustard Oil, Salt",Total in 30 M,"Heat mustard oil; splutter mustard seeds; sauté onion, green chili, and garlic; add tomato, turmeric, salt, and pumpkin with water; simmer until soft.","Lutein, zeaxanthin, and vitamin C support macular health and reduce oxidative damage.",5,1,
Pumpkin Soup (Indian style),220,2,6,Sweet,"Pumpkin, Onion, Garlic, Ginger, Green Chili, Black Pepper, Coconut Milk, Sunflower Oil, Salt",Total in 35 M,"Heat sunflower oil; sauté onion, garlic, ginger, and green chili; add pumpkin, black pepper, salt, and coconut milk; simmer until tender and creamy.",High in vitamin A and protein; supports retinal and lens function.,4,1,
Bottle Gourd with Spinach Curry,140,4,4,"Bitter, Sweet","Bottle Gourd, Spinach Leaves, Onion, Tomato, Garlic, Green Chili, Mustard Seeds, Sunflower Oil, Salt",Total in 40 M,"Heat sunflower oil; splutter mustard seeds; sauté onion, garlic, and green chili; add tomato, bottle gourd, spinach, and salt; cover and cook until tender.",Contains beta-carotene and protein; helps maintain healthy vision.,4,1,
Bitter Gourd Stir Fry,180,3,10,"Bitter, Sweet","Bitter Gourd, Onion, Garlic, Green Chili, Turmeric Powder, Mustard Seeds, Coconut Oil, Salt",Total in 25 M,"Heat coconut oil; splutter mustard seeds; sauté onion, garlic, and green chili; add turmeric, salt, and sliced bitter gourd; stir-fry until cooked and lightly crisp.","Spinach for lutein, beans for zinc; supports retinal repair and eye health.",4,1,
Ridge Gourd with Moong Dal,160,8,20,"Sweet, Astringent","Ridge Gourd, Moong Dal, Onion, Tomato, Garlic, Green Chili, Turmeric Powder, Sunflower Oil, Salt",Total in 30 M,"Cook moong dal with turmeric and salt; heat sunflower oil; sauté onion, tomato, garlic, and green chili; add ridge gourd; combine with dal and simmer to desired consistency.","Fenugreek and soy provide beta-carotene, vitamin A, and protein; protects retina.",4,1,
Green Beans Poriyal,220,4,15,"Bitter, Sweet","Green Beans, Onion, Garlic, Green Chili, Curry Leaves, Mustard Seeds, Coconut Oil, Salt",Total in 35 M,"Heat coconut oil; splutter mustard seeds and curry leaves; sauté onion, garlic, and green chili; add chopped green beans and salt; cook until tender-crisp.","Lutein from spinach, ragi adds minerals; supports macular function.",4,1,
Beetroot Thoran,150,3,8,"Bitter, Sweet","Beetroot, Onion, Green Chili, Garlic, Grated Coconut, Curry Leaves, Mustard Seeds, Coconut Oil, Salt",Total in 40 M,"Heat coconut oil; splutter mustard seeds and curry leaves; sauté onion, green chili, and garlic; add grated coconut and beetroot; toss and cook until just done.",Contains lutein and beta-carotene; improves night vision and retinal health.,4,1,
Sweet Potato Curry,160,3,12,"Sweet, Bitter","Sweet Potato, Onion, Tomato, Garlic, Green Chili, Curry Leaves, Mustard Seeds, Coconut Oil, Salt",Total in 35 M,"Heat coconut oil; splutter mustard seeds and curry leaves; sauté onion, green chili, and garlic; add tomato, salt, and cubed sweet potato; cover and cook until tender.",Rich in beta-carotene and vitamin A; sweet potatoes support retinal health and night vision.,5,2,
Moong Dal Palak,220,12,5,"Bitter, Sweet","Moong Dal, Spinach Leaves, Onion, Tomato, Garlic, Green Chili, Turmeric Powder, Sunflower Oil, Salt",Total in 40 M,"Cook moong dal with turmeric and salt until soft; heat sunflower oil and sauté garlic, onion, and green chili; add tomato and wilt spinach; combine dal, simmer to desired consistency, and adjust salt.",Spinach provides lutein and zeaxanthin; moong dal adds protein and zinc for eye tissue protection.,5,1,
Toor Dal with Drumstick Leaves,240,12,3,"Bitter, Sweet","Toor Dal, Drumstick Leaves, Onion, Tomato, Garlic, Green Chili, Turmeric Powder, Mustard Oil, Salt",Total in 45 M,"Cook toor dal with turmeric and salt; heat mustard oil, splutter mustard seeds, sauté garlic, onion, and green chili; add tomato and drumstick leaves to wilt; combine dal, simmer, and balance salt.",Drumstick leaves are high in vitamin A and antioxidants; combined with dal for retinal support.,5,1,
Chana Dal with Lauki,250,13,10,"Bitter, Sweet","Chana Dal, Bottle Gourd, Onion, Tomato, Garlic, Green Chili, Turmeric Powder, Mustard Seeds, Sunflower Oil, Salt",Total in 35 M,"Pressure-cook chana dal with turmeric and salt; heat sunflower oil, splutter mustard seeds, sauté garlic, onion, and green chili; add tomato and bottle gourd until tender; fold in dal, simmer, and season.",Bottle gourd (lauki) has beta-carotene; chana dal provides protein for retinal repair.,5,1,
Masoor Dal with Spinach,300,12,18,"Bitter, Sweet","Masoor Dal, Spinach Leaves, Onion, Tomato, Garlic, Ginger, Green Chili, Turmeric Powder, Sunflower Oil, Salt",Total in 40 M,"Cook masoor dal with turmeric and salt; heat sunflower oil, sauté garlic, ginger, onion, and green chili; add tomato and spinach to wilt; combine, simmer, and adjust salt.","Spinach with masoor dal provides lutein, zeaxanthin, and protein; supports macular health.",5,1,
Mixed Lentil Soup (Panchmel Dal),240,12,12,"Bitter, Sweet","Moong Dal, Toor Dal, Chana Dal, Masoor Dal, Urad Dal, Onion, Tomato, Garlic, Green Chili, Turmeric Powder, Ghee, Salt",Total in 20 M,"Soak and cook mixed dals with turmeric and salt until creamy; heat ghee, sauté garlic, onion, and green chili; add tomato to soften; combine with dals, simmer, and finish seasoning.","Combination of multiple lentils with greens; rich in beta-carotene, lutein, and antioxidants for retinal protection.",5,1,
Sprouted Moong Salad with Greens,220,7,20,"Bitter, Sweet","Sprouted Moong, Onion, Tomato, Green Chili, Lemon Juice, Coriander Leaves, Sunflower Oil, Salt",Total in 25 M,"Warm sunflower oil and lightly sauté onion and green chili; toss in sprouted moong and tomato to heat; turn off, mix in lemon juice, coriander leaves, and salt.","Sprouted moong and greens provide vitamins A, C, and lutein; support overall eye health.",4,1,
Green Gram Sundal,120,8,15,"Bitter, Sweet","Green Gram, Grated Coconut, Green Chili, Curry Leaves, Mustard Seeds, Coconut Oil, Salt",Total in 45 M,"Cook green gram until just tender; heat coconut oil, splutter mustard seeds with curry leaves and green chili; toss with green gram, grated coconut, and salt on low heat.","Green gram with leafy greens supplies beta-carotene, vitamin C, and antioxidants for macula protection.",2,1,
Horse Gram Curry (Kulthi Dal),180,12,6,"Bitter, Sweet","Horse Gram, Onion, Tomato, Garlic, Ginger, Green Chili, Tamarind Pulp, Turmeric Powder, Mustard Oil, Salt",Total in 50 M,"Pressure-cook horse gram with turmeric and salt; heat mustard oil, sauté garlic, ginger, onion, and green chili; add tomato and tamarind pulp to form gravy; add horse gram, simmer, and season.",Horse gram (kulthi) contains protein and antioxidants; supports retinal and lens health.,2,1,
Rajma with Spinach,260,12,4,"Bitter, Astringent","Rajma, Spinach Leaves, Onion, Tomato, Garlic, Ginger, Green Chili, Cumin Seeds, Sunflower Oil, Salt",Total in 50 M,"Soak and cook rajma with salt until tender; heat sunflower oil, crackle cumin seeds, sauté garlic, ginger, onion, and green chili; add tomato and wilt spinach; combine rajma and simmer to thicken.","Rajma with spinach gives protein, lutein, and vitamin A; protects retina from oxidative damage.",4,1,
Soya Bean Curry with Methi,320,15,12,"Bitter, Astringent","Soya Bean, Fenugreek Leaves, Onion, Tomato, Garlic, Ginger, Green Chili, Turmeric Powder, Sunflower Oil, Salt",Total in 40 M,"Boil soaked soybeans until soft; heat sunflower oil, sauté garlic, ginger, onion, and green chili; add tomato, turmeric, and chopped fenugreek leaves; add soybeans, simmer, and adjust salt.","Soybeans with methi provide protein, zinc, and beta-carotene; support macular function.",5,2,
Ragi Mudde with Spinach Curry,320,10,10,"Bitter, Astringent, Salty","Ragi Flour, Spinach Curry, Water",Total in 35 M,Whisk ragi flour with water to a smooth slurry; bring spinach curry to a simmer; stream in slurry while stirring; cook until lightly thickened and season as needed.,Spinach provides lutein and zeaxanthin; ragi adds minerals; helps maintain good vision.,5,2,
Bajra Khichdi with Greens,300,10,18,Sweet,"Bajra, Rice, Green Gram, Spinach Leaves, Onion, Garlic, Green Chili, Ghee, Salt",Total in 25 M,"Cook bajra, rice, and green gram together with salt to khichdi consistency; heat ghee, sauté garlic, onion, and green chili; stir into pot with spinach to wilt and simmer briefly.","Bajra with greens provides beta-carotene, zinc, and antioxidants; supports retinal health.",4,2,
Oats Palak Upma,250,8,20,"Sweet, Astringent","Oats, Spinach Leaves, Onion, Green Chili, Ginger, Curry Leaves, Sunflower Oil, Salt",Total in 35 M,"Heat sunflower oil, sauté ginger, onion, green chili, and curry leaves; add oats and toast briefly; pour water and salt, add spinach to wilt, and cook until done.",Oats with palak provide lutein and minerals; improves macular function and eye tissue protection.,4,2,
Quinoa Spinach Pulao,300,10,15,Sweet,"Quinoa, Spinach Leaves, Onion, Tomato, Garlic, Ginger, Green Chili, Cumin Seeds, Sunflower Oil, Salt",Total in 50 M,"Rinse quinoa; heat sunflower oil, crackle cumin seeds, sauté garlic, ginger, onion, and green chili; add tomato and spinach; add quinoa with water and salt, cover and cook until done.","Spinach and quinoa combination supplies lutein, zeaxanthin, and protein for retinal health.",5,2,
Brown Rice Fish Curry,350,22,25,"Sour, Salty, Bitter","Brown Rice, Fish Pieces, Onion, Tomato, Garlic, Ginger, Green Chili, Tamarind Pulp, Turmeric Powder, Mustard Oil, Salt",Total in 45 M,"Cook brown rice; heat mustard oil, sauté ginger, garlic, onion, and green chili; add tomato and turmeric, then tamarind pulp with water and salt; slide in fish and simmer gently until cooked; serve with rice.","Brown rice with fish provides DHA, omega-3s, and antioxidants; supports retina and lens function.",7,2,
Ragi Dosa with Drumstick Leaves,260,8,18,"Sweet, Astringent","Ragi Flour, Drumstick Leaves, Urad Dal, Rice, Fenugreek Seeds, Sunflower Oil, Salt",Total in 10 M,"Soak urad dal, rice, and fenugreek seeds; grind and mix with ragi flour and salt; ferment until airy; fold in chopped drumstick leaves; make thin dosas on a hot tawa with sunflower oil.","Ragi and drumstick leaves provide beta-carotene, zinc, and minerals; supports night vision.",6,2,
Almond Spinach Smoothie,250,8,12,"Sweet, Astringent","Almonds, Spinach Leaves, Milk",Total in 15 M,"Blanch spinach and soak almonds; blend almonds, spinach, and chilled milk until smooth; lightly sweeten or season if desired.","Almonds and spinach provide vitamin E, lutein, and antioxidants; protect retinal cells.",8,2,
