Food Name,Calories,Protein_g,Carbohydrates_g,taste,prep_time,Instructions,Description,Fat,Ingredients,No_serving
Vegetable Kurma,200,6,18,"Spicy, Bitter",30 M,"Chop carrot, beans, peas, capsicum, and tomato, then sauté in coconut oil with curry leaves and cumin seeds. Add coconut milk if needed and cook until vegetables are tender. Serve hot.","Light on oil, full of fiber and antioxidants for cholesterol control.",6,"Carrot, Beans, Peas, Capsicum, Tomato, Coconut, Coconut Oil, Curry Leaves, Cumin Seeds",2
Vegetable Kootu,180,6,15,"Spicy, Astringent",25 M,"Cook snake gourd, beans, and coconut with coconut oil, curry leaves, mustard seeds, and green chili until thick. Serve warm.","Lentil and vegetable mix, high in soluble fiber, good for heart health.",3,"Snake Gourd, Beans, Coconut, Coconut Oil, Curry Leaves, Mustard Seeds, Green Chili",2
Avial,150,5,12,"Astringent, Bitter",20 M,"Boil carrot, beans, drumstick, and snake gourd, add ground coconut paste, simmer for 10 minutes, and finish with coconut oil and curry leaves. Serve hot.","Rich in vegetables and coconut (in moderation), supports healthy cholesterol.",5,"Carrot, Beans, Drumstick, Snake Gourd, Coconut, Coconut Oil, Curry Leaves",2
Sambar,120,6.5,10,"Spicy, Sour",20 M,"Soak tamarind, grind with spices, boil with tomatoes, toor dal, drumstick, and season with coconut oil, curry leaves, mustard seeds, and red chili. Serve hot.","Lentil-based, high protein and fiber, helps reduce bad cholesterol.",2,"Toor Dal, Tamarind, Drumstick, Tomato, Coconut Oil, Curry Leaves, Mustard Seeds, Red Chili",2
Rasam,40,2,8,"Spicy, Sour",15 M,"Boil tomatoes, tamarind, and spices in water, simmer for 10 minutes, garnish with coriander, and drizzle coconut oil before serving.","Low-fat, antioxidant-rich, supports heart health.",0.5,"Tomato, Tamarind, Curry Leaves, Coconut Oil, Mustard Seeds, Green Chili",1
Tomato Rasam,130,2,8,"Sour, Spicy",20 M,"Boil drumsticks with sambar dal and tamarind paste, season with coconut oil, curry leaves, mustard seeds, and green chili, and simmer until cooked. Serve warm.","Lycopene-rich, helps prevent LDL oxidation and supports heart.",0.5,"Tomato, Tamarind, Curry Leaves, Coconut Oil, Mustard Seeds, Green Chili",1
Drumstick Sambar,40,4,9,"Spicy, Bitter",20 M,"Sauté drumstick with toor dal, tamarind, coconut oil, mustard seeds, curry leaves, and red chili, cook until tender, and serve warm.","High fiber and antioxidants, aids cholesterol reduction.",2,"Drumstick, Toor Dal, Tamarind, Coconut Oil, Mustard Seeds, Curry Leaves, Red Chili",1
Vegetable Thoran,120,3,10,"Bitter, Astringent",15 M,"Sauté cabbage, carrot, and beans with mustard seeds, green chili, and coconut oil, add grated coconut, and cook until soft. Serve warm.","Stir-fried veggies with minimal oil, supports healthy lipid levels.",4,"Cabbage, Carrot, Beans, Coconut Oil, Curry Leaves, Mustard Seeds",1
Cabbage Poriyal,60,2.5,5,"Bitter, Astringent",15 M,"Sauté cabbage with coconut oil, mustard seeds, green chili, and grated coconut. Cook until tender and serve hot.","High in fiber and antioxidants, lowers LDL cholesterol.",3,"Cabbage, Coconut Oil, Mustard Seeds, Green Chili",1
Beans Poriyal,55,2.5,6,"Bitter, Astringent",15 M,"Sauté green beans with mustard seeds, coconut oil, and green chili until soft. Serve warm.","Fiber and protein-rich, helps maintain healthy cholesterol.",3,"Green Beans, Coconut Oil, Mustard Seeds, Green Chili",1
Carrot Poriyal,50,2,6,"Bitter, Sour",15 M,"Sauté beetroot with coconut, green chili, mustard seeds, and coconut oil until tender. Serve hot.","Beta-carotene-rich, supports heart health and lowers LDL.",3,"Carrot, Coconut Oil, Mustard Seeds, Green Chili",1
Beetroot Poriyal,55,2,6,"Bitter, Spicy",15 M,"Slice bitter gourd thinly, sauté with onion, turmeric, and spices in coconut oil, and cook until soft. Serve warm.","Nitrate-rich, helps improve blood flow and cholesterol profile.",3,"Beetroot, Coconut Oil, Mustard Seeds, Green Chili",2
Bitter Gourd Poriyal,50,2.5,7,"Bitter, Astringent",15 M,"Cook bitter gourd with coconut oil, mustard seeds, and green chili until tender. Serve hot.","Known to lower blood sugar and cholesterol, supports heart.",3,"Bitter Gourd, Coconut Oil, Mustard Seeds, Green Chili",2
Snake Gourd Kootu,60,2.5,5,"Bitter, Spicy",20 M,"Chop snake gourd, cook with dal, coconut oil, mustard seeds, and mild spices until soft. Serve warm.","High fiber and low-fat, promotes healthy cholesterol levels.",3,"Snake Gourd, Coconut, Coconut Oil, Mustard Seeds, Curry Leaves",2
Bottle Gourd Curry,150,2,12,"Spicy, Bitter",20 M,"Cook bottle gourd with onion, tomato, coconut oil, mustard seeds, and curry leaves until soft. Serve hot.","Low-calorie, high fiber, supports heart health.",3,"Bottle Gourd, Coconut Oil, Mustard Seeds, Green Chili",2
Brinjal Curry,80,2,15,"Bitter, Spicy",20 M,"Sauté brinjal with onion, tomato, mustard seeds, and coconut oil until tender. Serve warm.","Rich in fiber and antioxidants, helps reduce bad cholesterol.",2,"Brinjal, Coconut Oil, Mustard Seeds, Green Chili",2
Okra Curry (lady’s finger),70,2,14,"Astringent, Sour",25 M,"Sauté okra with onion, salt, mustard seeds, and coconut oil until soft. Serve hot.","Soluble fiber-rich, lowers LDL cholesterol.",5,"Okra, Coconut Oil, Mustard Seeds, Green Chili",2
Vegetable Stew,80,4,14,"Astringent, Bitter",20 M,"Boil Carrot, Beans, Green Peas, Cauliflower, Potato,Tomato like okra, beans, carrot, and peas with coconut milk, mustard seeds, and coconut oil until tender. Serve warm.","Light, nutrient-rich, supports healthy lipid levels.",4,"Carrot, Beans, Peas, Coconut, Coconut Oil, Curry Leaves",2
Oats Idli,90,3.5,10,"Astringent, Bitter",20 M,"Soak oats, grind coarsely, mix with yogurt, carrot, beans, peas, and steam in idli molds. Brush with coconut oil and serve hot.","Beta-glucan-rich, lowers cholesterol absorption.",6,"Oats Flour, Urad Dal, Cumin Seeds, Coconut Oil",3
Rava Idli,150,3,18,"Astringent, Bitter",20 M,"Mix rava, urad dal, cumin seeds, yogurt, and salt, pour into idli molds, steam for 10–12 minutes, brush with coconut oil, and serve hot.","Light, easy to digest, provides moderate fiber for heart health.",1.5,"Rava, Urad Dal, Mustard Seeds, Coconut Oil",3
Ragi Idli,130,3.5,20,"Astringent, Bitter",15 M,"Mix ragi flour, urad dal, mustard seeds, yogurt, and water, pour into idli molds, steam for 10–12 minutes, and serve warm.",Soluble fiber helps lower LDL cholesterol and aids digestion.,1.5,"Ragi Flour, Urad Dal, Cumin Seeds, Coconut Oil",3
Vegetable Idli,150,3,16,"Astringent, Bitter",15 M,"Mix rice flour, ragi flour, urad dal, cumin seeds, yogurt, and chopped vegetables, pour into idli molds, steam for 10–12 minutes, and serve warm.","Rich in fiber and nutrients, supports cholesterol management.",1.5,"Rice, Carrot, Beans, Peas, Urad Dal, Coconut Oil, Cumin Seeds",3
Poha (with veggies),130,4,15,"Astringent, Bitter",15 M,"Boil rice, carrot, beans, and peas until tender and drain the water. Heat coconut oil in a pan, sauté mustard seeds and curry leaves until aromatic. Add the boiled rice and vegetables, cook for 3–4 minutes while stirring, and serve warm.","Low-fat, fiber-rich, helps maintain healthy cholesterol.",1.5,"Rice, Carrot, Beans, Peas, Coconut Oil, Mustard Seeds, Curry Leaves",3
Sprouts Sundal,200,4,40,"Astringent, Bitter",15 M,"Boil green moong sprouts until soft and drain. Heat coconut oil, sauté mustard seeds and curry leaves until fragrant. Add the sprouts, mix well, cook briefly, and serve warm.","High protein and fiber, aids in reducing bad cholesterol.",3,"Green Moong Sprouts, Coconut Oil, Mustard Seeds, Curry Leaves",3
Green Gram Sundal,180,4,28,"Bitter, Spicy",10 M,"Boil green gram sprouts until soft and drain. Heat coconut oil, sauté mustard seeds and green chilies until aromatic. Add the sprouts, toss for a few minutes, and serve warm.","Fiber and protein-rich, supports heart health.",1,"Green Gram, Coconut Oil, Mustard Seeds, Curry Leaves",3
Chana Sundal,180,4,27,"Spicy, Bitter",10 M,"Lightly roast peanuts. Boil chana dal sprouts until tender and drain. Heat coconut oil, sauté mustard seeds and curry leaves until fragrant. Add the sprouts and roasted peanuts, mix well, cook briefly, and serve warm.","Soluble fiber-rich, helps lower LDL cholesterol.",1,"Chana Dal, Coconut Oil, Mustard Seeds, Curry Leaves",2
Peanut Sundal,170,4,25,"Spicy, Bitter",15 M,"Boil peanuts in water until soft. Heat coconut oil in a pan, sauté mustard seeds, curry leaves, and green chilies until fragrant. Add the boiled peanuts, season with salt and turmeric, mix in grated coconut, cook briefly, and serve warm.",Protein and healthy fats support cholesterol balance.,1,"Peanuts, Coconut Oil, Mustard Seeds, Curry Leaves",1
Rajma Curry,180,3.5,20,"Spicy, Astringent",15 M,"Soak rajma overnight and pressure cook with water until tender. Heat coconut oil in a pan, sauté cumin seeds, chopped onions, chopped tomatoes, ginger, and garlic with turmeric until aromatic. Add the cooked rajma, mix well, simmer for 5–10 minutes, and serve hot.","Kidney beans are high in fiber and protein, lowering LDL.",7,"Rajma, Tomato, Onion, Garlic, Coconut Oil, Cumin Seeds, Turmeric",2
Chole (light oil),200,3,18,"Spicy, Astringent",20 M,"Soak chickpeas overnight and pressure cook until soft. Heat coconut oil in a pan, sauté cumin seeds, chopped onions, chopped tomatoes, and turmeric until fragrant. Add the cooked chickpeas, mix well, cook for 5–10 minutes, and serve hot.","Chickpeas provide fiber and protein, help reduce cholesterol.",4,"Chickpea, Tomato, Onion, Coconut Oil, Cumin Seeds, Turmeric",1
Dal Tadka (moong dal),150,3,12,"Spicy, Astringent",20 M,"Soak moong dal for 30 minutes and boil until soft. Heat coconut oil in a pan, sauté cumin seeds, chopped garlic, green chilies, turmeric, and black pepper until aromatic. Add the cooked moong dal, mix well, simmer briefly, and serve warm.","Protein-rich, soluble fiber aids heart and cholesterol health.",4,"Moong Dal, Coconut Oil, Cumin Seeds, Turmeric, Black Pepper",1
Dal Fry (less oil),130,3.5,14,"Spicy, Astringent",15 M,"Boil moong dal until soft. Heat coconut oil in a pan, sauté cumin seeds, chopped ginger, green chilies, turmeric, and black pepper until fragrant. Pour the tadka over the dal, mix well, and serve warm.","Provides protein and fiber, supports healthy lipid levels.",3,"Moong Dal, Coconut Oil, Cumin Seeds, Turmeric, Black Pepper",1
Masoor Dal Curry,120,3,16,"Spicy, Astringent",10 M,"Cook masoor dal in water until soft. Heat coconut oil in a pan, sauté cumin seeds, chopped garlic, and turmeric until fragrant. Add chopped onions and tomatoes, cook briefly, then mix in the cooked masoor dal, simmer for 5–10 minutes, and serve hot.","Red lentils rich in fiber and protein, help control LDL.",4,"Masoor Dal, Coconut Oil, Cumin Seeds, Turmeric, Garlic",7
Toor Dal Curry,180,3.5,15,"Spicy, Astringent",10 M,"Cook toor dal in water until soft. Heat coconut oil, sauté cumin seeds, chopped garlic, and green chilies until aromatic. Pour the seasoning over the cooked dal, mix well, simmer briefly, and serve hot.","High in fiber, helps reduce cholesterol and improves digestion.",3,"Toor Dal, Coconut Oil, Cumin Seeds, Turmeric, Garlic",7
Spinach Dal,150,3,16,"Bitter, Astringent",15 M,"Wash and chop spinach. Boil or steam lightly, then cook with moong dal, coconut oil, cumin seeds, turmeric, and chopped garlic until tender. Serve warm.","Iron and fiber-rich, supports heart and cholesterol health.",3,"Spinach, Moong Dal, Coconut Oil, Cumin Seeds, Turmeric, Garlic",7
Palak Roti,180,3,18,"Astringent, Bitter",15 M,Knead wheat flour into a smooth dough with olive oil. Roll into thin rounds and cook on a hot griddle until golden. Serve hot with curry or vegetables.,"Spinach added to Wheat, high fiber, reduces LDL.",3,"Wheat Flour, Olive Oil",7
Methi Thepla,150,3,5,"Bitter, Astringent",15 M,"Mix wheat flour with chopped fenugreek leaves, salt, and olive oil to form a dough. Roll thin, cook on a hot griddle until lightly browned, and serve hot.",Fenugreek aids in lowering cholesterol and improving heart health.,2,"Wheat Flour, Fenugreek Leaves, Olive Oil",1
Vegetable Paratha (without ghee),180,2,10,"Spicy, Astringent",15 M,"Prepare dough with wheat flour, chopped carrot, and beans, adding a little coconut oil and olive oil. Roll into parathas, cook on a hot griddle without ghee, and serve warm.","Low-fat, fiber-rich, helps maintain healthy cholesterol.",1,"Wheat Flour, Carrot, Beans, Coconut Oil, Olive Oil",1
Cabbage Paratha (light oil),180,1.5,8,"Bitter, Astringent",20 M,"Prepare dough with wheat flour and chopped cabbage, adding coconut oil and olive oil. Roll into rounds, cook on a hot griddle until done, and serve hot.","High fiber and low-fat, supports heart and cholesterol.",3,"Cabbage, Wheat Flour, Coconut Oil, Olive Oil",1
Tomato Soup,120,1.5,12,"Sour, Spicy",20 M,"Boil tomatoes with water, salt, and coconut oil until soft. Heat coconut oil, sauté cumin seeds and curry leaves, then add the boiled tomatoes, lightly mash, simmer 5–10 minutes, and serve warm.","Lycopene-rich, antioxidant, helps reduce LDL oxidation.",2,"Tomato, Coconut Oil, Cumin Seeds, Curry Leaves",1
Vegetable Clear Soup,50,1,12,"Astringent, Bitter",20 M,"Boil carrot, beans, green peas, cauliflower, potato, and tomato in water with coconut oil, curry leaves, and cumin seeds. Season with salt and pepper, cook 5–10 minutes, and serve warm.","Low-calorie, high nutrient, supports cholesterol management.",3,"Carrot, Beans, Peas, Coconut Oil, Curry Leaves, Cumin Seeds",1
Drumstick Soup,90,1,10,"Bitter, Spicy",15 M,"Boil drumstick pieces in water with coconut oil, cumin seeds, and curry leaves. Simmer for 10–15 minutes and serve hot.","Fiber and antioxidant-rich, aids in lowering cholesterol.",1,"Drumstick, Coconut Oil, Cumin Seeds, Curry Leaves",1
Beetroot Soup,70,0.5,5,"Bitter, Astringent",15 M,"Peel and chop beetroot, boil until tender. Heat coconut oil, sauté cumin seeds and curry leaves, add the boiled beetroot, mash or blend with spices, and serve warm.","High in nitrates, helps improve blood circulation and cholesterol.",1,"Beetroot, Coconut Oil, Cumin Seeds, Curry Leaves",1
Spinach Soup,60,0.5,3,"Bitter, Astringent",15 M,"Wash and chop spinach. Boil with water, coconut oil, cumin seeds, and curry leaves until tender, and serve warm.","Iron and fiber-rich, supports heart and cholesterol health.",1,"Spinach, Coconut Oil, Cumin Seeds, Curry Leaves",1
Carrot Soup,50,2,2,"Bitter, Astringent",15 M,"Chop carrots, boil or steam until soft. Heat coconut oil, sauté cumin seeds and curry leaves, season with salt and pepper, toss with the carrots, and serve warm.","Beta-carotene-rich, promotes healthy cholesterol levels.",1,"Carrot, Coconut Oil, Cumin Seeds, Curry Leaves",3
Mixed Veg Soup,40,2.5,2,"Spicy, Bitter",10 M,"Chop carrot, beans, green peas, cauliflower, potato, and tomato. Boil in water with coconut oil, curry leaves, salt, and pepper until cooked, then serve hot.","High fiber and nutrient-rich, supports cholesterol management.",1,"Carrot, Beans, Peas, Capsicum, Coconut Oil, Curry Leaves",1
Ragi Malt (without sugar),30,2,2,"Astringent, Bitter",10 M,"Roast ragi flour lightly. Boil milk or water, gradually add the ragi flour while stirring, cook until thickened, and serve warm.",Soluble fiber reduces LDL cholesterol and supports heart.,1,"Ragi Flour,  Milk",1
"Buttermilk (spiced, low-fat)",40,2.5,1,"Sour, Astringent",10 M,"Mix yogurt with water, salt, spices, and whisk until frothy. Heat coconut oil, sauté mustard seeds, curry leaves, and green chilies, pour over the yogurt mixture if desired, and serve chilled.","Probiotic-rich, aids digestion and cholesterol control.",1,"Butter, Milk, Curry Leaves, Mustard Seeds, Green Chili",1
Lassi (Curd),80,3,0.5,"Sour, Astringent",10 M,Blend curd until smooth. Add cardamom powder and sugar or salt as needed. Serve chilled.,"Low-fat, probiotic, supports healthy cholesterol.",1.5,"Curd, Cardamom Powder",1
Lemon Buttermilk,200,3,0,"Sour, Astringent",10 M,"Mix yogurt with water, salt, and lemon. Whisk until frothy. Heat butter or coconut oil, sauté mustard seeds and curry leaves, then pour over the yogurt mixture if desired. Serve chilled.","Low-fat, hydrating, helps maintain cholesterol balance.",1,"Butter, Milk, Lemon, Curry Leaves, Mustard Seeds",1
Golden Millet Khichdi,220,8,40, SourAstringent,10 M,"Rinse and soak millet and moong dal. Chop carrot, beans, peas, and pumpkin. Cook millet, dal, and vegetables until soft. Heat olive or coconut oil, sauté cumin seeds, turmeric powder, and curry leaves, mix with the cooked khichdi, garnish with coriander, and serve hot.","A wholesome, nutritious khichdi made with millet, lentils, and fresh vegetables, perfect for a light, cholesterol-friendly meal.",4,"Millet, Moong Dal, Carrot, Beans, Peas, Coconut Oil, Curry Leaves, Cumin Seeds, Turmeric Powder",1
Green Tea,180,3,15,"Bitter, Astringent",10 M,Boil water and steep green tea leaves or a tea bag with ginger for 2–3 minutes. Strain and serve hot.,"Rich in antioxidants, helps reduce LDL cholesterol.",0.5,"Green Tea Leaves,Ginger",1
Ginger Tea ,160,3.5,35,"Bitter, Astringent",10 M,"Boil water with crushed ginger and green tea leaves for 2–3 minutes. Add milk if desired, strain, and serve warm.","Anti-inflammatory, aids heart health and cholesterol control.",0.2,"Ginger, Green Tea Leaves,Milk",1
Turmeric Milk (low-fat),140,3,38,"Bitter, Astringent",10 M,"Heat milk, add turmeric powder, simmer for 2–3 minutes, and serve warm.",Curcumin helps reduce inflammation and supports healthy cholesterol.,0," Milk, Turmeric Powder",1
Oats Porridge,130,4,25,"Astringent, Spicy",10 M,"Boil oats with milk, carrot, and beans. Stir continuously until thickened and serve warm.","Beta-glucan-rich, lowers LDL cholesterol.",0,"Oats,  Milk, Carrot, Beans",1
Millet Porridge,120,4,28,"Astringent, Spicy",15 M,"Boil millet flour with water until soft. Stir in milk, carrot, and beans, cook briefly, and serve warm.","High fiber, supports heart health and reduces cholesterol.",1.5,"Millet Flour,  Milk, Carrot, Beans",1
Broken Wheat Upma,150,3,30,"Spicy, Bitter",15 M,"Roast broken wheat lightly. Boil water, sauté mustard seeds, curry leaves, carrot, and beans in coconut oil. Gradually add the wheat, cook until soft, and serve warm.","Fiber-rich, low-fat, supports healthy cholesterol.",2,"Wheat, Mustard Seeds, Curry Leaves, Coconut Oil, Carrot, Beans",1
Ragi Upma,170,3,32,"Spicy, Bitter",20 M,"Roast Ragi lightly. Boil water, sauté mustard seeds, curry leaves, carrot, and beans in coconut oil. Add the Ragi, cook until tender, and serve hot.",Soluble fiber helps reduce LDL and supports satiety.,2,"Ragi, Mustard Seeds, Curry Leaves, Coconut Oil, Carrot, Beans",1
Wheat Rava Upma,180,2.5,28,"Spicy, Bitter",20 M,"Roast wheat rava lightly. Boil water, sauté mustard seeds, curry leaves, carrot, and beans in coconut oil. Gradually add wheat rava, cook until soft, and serve hot.","Provides fiber, helps maintain healthy lipid levels.",3,"Wheat Rava, Mustard Seeds, Curry Leaves, Coconut Oil, Carrot, Beans",1
Vegetable Semiya,160,3,25,"Spicy, Bitter",15 M,"Boil rava semiya with carrot, beans, and peas until tender. Heat coconut oil, sauté mustard seeds and curry leaves, mix with the semiya and vegetables, and serve warm.","Light, nutrient-rich, supports heart health.",3,"Rava Semiya, Carrot, Beans, Peas, Coconut Oil, Mustard Seeds, Curry Leaves",1
Ragi Idli,120,3.5,20,"Astringent, Bitter",20 M,"Soak Ragi, mix with yogurt, urad dal, salt, and cumin seeds. Pour the mixture into idli molds, steam for 10–12 minutes, and serve hot.",Soluble fiber aids cholesterol reduction.,3,"Ragi, Urad Dal, Cumin Seeds, Coconut Oil",1
