Food Name,Calories,Protein_g,Carbohydrates_g,Taste,Ingredients,prep_time,Instructions,Description,Fat,No_serving
Traditional Paneer Masala Taste,206,20,25,Spicy,"Onion, Paneer, Pepper, Salt, Tomato",Total in 47M,Heat oil in a pan over medium heat. Add Onion and saute  golden brown. Add Tomato and cook until it turns mushy. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Season with Salt and serve.,A thyroid-friendly paneer recipe made with balanced spices and wholesome ingredients for better metabolism.,8,3
Healthy Coconut Rice Curry,260,7,13,Spicy,"Lemon, Mustard Seeds, Rice, Salt",Total in 30M,Heat oil in a pan over medium heat. Add Mustard Seeds and let them splutter. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Season with Salt and serve.,A thyroid-friendly rice recipe made with balanced spices and wholesome ingredients for better metabolism.,5,3
Zesty Paneer Kurma Fusion,185,8,18,Astringent,"Onion, Paneer, Pepper, Salt, Tomato",Total in 34M,Heat oil in a pan. Add all vegetables and spices. Cook on medium heat stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly paneer recipe made with balanced spices and wholesome ingredients for better metabolism.,4,2
Traditional Drumstick Leaves Stir Fry Delight,154,18,23,Spicy,"Drumstick Leave, Garlic, Mustard Seeds, Onion, Salt, Spinach",Total in 41M,Heat oil in a pan over medium heat. Add Mustard Seeds and let them splutter. Add Onion and saute  translucent. Add Garlic and saute  1 minute. Add the chopped vegetables and stir well. Cook on medium heat for 8-10 minutes stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly leafy recipe made with balanced spices and wholesome ingredients for better metabolism.,3,4
Rustic Upma Curry,201,16,27,Spicy,"Ghee, Rice, Salt, Urad Dal",Total in 69M,Heat Ghee in a pan over medium heat. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Season with Salt and serve.,A thyroid-friendly tiffin recipe made with balanced spices and wholesome ingredients for better metabolism.,10,3
Classic Paneer Masala Taste,216,12,9,Spicy,"Onion, Paneer, Pepper, Salt, Tomato",Total in 54M,Heat oil in a pan over medium heat. Add Onion and saute  golden brown. Add Tomato and cook until it turns mushy. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Season with Salt and serve.,A thyroid-friendly paneer recipe made with balanced spices and wholesome ingredients for better metabolism.,12,4
Healthy Idli Delight,224,8,25,Astringent,"Ghee, Rice, Salt, Urad Dal",Total in 38M,Heat Ghee in a pan. Add all vegetables and spices. Cook on medium heat stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly tiffin recipe made with balanced spices and wholesome ingredients for better metabolism.,10,2
Rustic Curry Leaf Tea Delight,144,9,19,Spicy,"Cumin, Ginger, Honey, Lemon, Tulsi, Water",Total in 51M,Heat oil in a pan over medium heat. Add Cumin Seeds and let them splutter. Add Ginger and saute  1-2 minutes. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Season with Salt and serve.,A thyroid-friendly drink recipe made with balanced spices and wholesome ingredients for better metabolism.,6,4
Wholesome Curry Leaf Tea Masala,255,18,14,Spicy,"Cumin, Ginger, Honey, Lemon, Tulsi, Water",Total in 38M,Heat oil in a pan over medium heat. Add Cumin Seeds and let them splutter. Add Ginger and saute  1-2 minutes. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Season with Salt and serve.,A thyroid-friendly drink recipe made with balanced spices and wholesome ingredients for better metabolism.,7,4
Fragrant Chana Dal Curry Fusion,144,12,17,Spicy,"Chickpea, Cowpea, Moong Dal, Mustard Seeds, Onion, Salt, Tomato",Total in 48M,Heat oil in a pan over medium heat. Add Mustard Seeds and let them splutter. Add Onion and saute  golden brown. Add Tomato and cook until it turns mushy. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Season with Salt and serve.,A thyroid-friendly legume recipe made with balanced spices and wholesome ingredients for better metabolism.,6,2
Wholesome Vatha Kuzhambu Delight,214,11,24,Bitter,"Chili Powder, Coriander Powder, Onion, Salt, Tamarind, Tomato",Total in 34M,Heat oil in a pan over medium heat. Add Onion and saute  golden brown. Add Tomato and cook until it turns mushy. Add Chili Powder and mix well. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Season with Salt and serve.,A thyroid-friendly kuzhambu recipe made with balanced spices and wholesome ingredients for better metabolism.,3,3
Traditional Spicy Mutton Kurma Style,207,18,16,Astringent,"Chili Powder, Fennel Seeds, Ginger Garlic Paste, Mutton, Onion, Salt, Tomato, Turmeric",Total in 65M,Heat oil in a pan. Add all vegetables and spices. Cook on medium heat stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly mutton recipe made with balanced spices and wholesome ingredients for better metabolism.,4,3
Traditional Puli Kulambu Taste,290,19,18,Spicy,"Mutton, Chili Powder, Coriander Powder, Onion, Salt, Tamarind, Tomato",Total in 49M,Heat oil in a pan over medium heat. Add Onion and saute  golden brown. Add Tomato and cook until it turns mushy. Add Chili Powder and mix well. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Season with Salt and serve.,A thyroid-friendly kuzhambu recipe made with balanced spices and wholesome ingredients for better metabolism.,7,2
Traditional Curd Rice Curry,137,16,24,Spicy,"Curd, Lemon, Mustard Seeds, Rice, Salt",Total in 25M,Heat oil in a pan over medium heat. Add Mustard Seeds and let them splutter. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Season with Salt and serve.,A thyroid-friendly rice recipe made with balanced spices and wholesome ingredients for better metabolism.,11,2
Classic Pepper Egg Fry Variety,169,6,10,Spicy,"Egg, Mustard Seeds, Onion, Pepper, Salt, Tomato",Total in 49M,Heat oil in a pan over medium heat. Add Mustard Seeds and let them splutter. Add Onion and saute  translucent. Add the chopped vegetables and stir well. Cook on medium heat for 8-10 minutes stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly egg recipe made with balanced spices and wholesome ingredients for better metabolism.,4,3
Fragrant Varagu Pongal Curry,218,17,21,Spicy,"Ghee, Millet, Onion, Salt",Total in 59M,Heat Ghee in a pan over medium heat. Add Onion and saute  golden brown. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Season with Salt and serve.,A thyroid-friendly millet recipe made with balanced spices and wholesome ingredients for better metabolism.,10,2
Classic Mutton Sukka Varuval Treat,284,8,28,Spicy,"Chili Powder, Fennel Seeds, Ginger Garlic Paste, Mutton, Onion, Salt, Tomato, Turmeric",Total in 45M,Heat oil in a pan. Add all vegetables and spices. Cook on medium heat stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly mutton recipe made with balanced spices and wholesome ingredients for better metabolism.,6,3
Zesty Dosa Treat,240,9,10,Spicy,"Ghee, Rice, Salt, Urad Dal",Total in 42M,Heat Ghee in a pan. Add all vegetables and spices. Cook on medium heat stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly tiffin recipe made with balanced spices and wholesome ingredients for better metabolism.,9,3
Zesty Tomato Rice Masala,142,14,18,Spicy,"Lemon, Mustard Seeds, Rice, Salt, Tomato",Total in 40M,Heat oil in a pan over medium heat. Add Mustard Seeds and let them splutter. Add Tomato and cook until it turns mushy. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Season with Salt and serve.,A thyroid-friendly rice recipe made with balanced spices and wholesome ingredients for better metabolism.,11,2
Mild Curry Leaf Soup Style,125,12,23,Spicy,"Garlic, Mustard Seeds, Pepper, Salt, Tomato, Water",Total in 42M,Boil water in a pot. saute  until golden brown. Add Tomato and cook until soft. Add water and bring to a boil. Season with Salt and serve hot.,A thyroid-friendly soup recipe made with balanced spices and wholesome ingredients for better metabolism.,9,3
Healthy Lemon Rasam Special,133,14,14,Astringent,"Garlic, Lemon, Mustard Seeds, Pepper, Salt, Tamarind, Tomato, Water",Total in 36M,Boil water in a pot. saute  until golden brown. Add Tomato and cook until soft. Add water and bring to a boil. Add Tamarind extract and simmer for 5-7 minutes. Season with Salt and serve hot.,A thyroid-friendly soup recipe made with balanced spices and wholesome ingredients for better metabolism.,6,4
Homestyle Green Gram Curry Treat,223,13,10,Spicy,"Chickpea, Cowpea, Moong Dal, Mustard Seeds, Onion, Salt, Tomato",Total in 42M,Heat oil in a pan over medium heat. Add Mustard Seeds and let them splutter. Add Onion and saute  golden brown. Add Tomato and cook until it turns mushy. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Season with Salt and serve.,A thyroid-friendly legume recipe made with balanced spices and wholesome ingredients for better metabolism.,6,4
Homestyle Curry Leaf Tea Variety,158,9,27,Spicy,"Cumin, Ginger, Honey, Lemon, Tulsi, Water",Total in 30M,Heat oil in a pan over medium heat. Add Cumin Seeds and let them splutter. Add Ginger and saute  1-2 minutes. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Season with Salt and serve.,A thyroid-friendly drink recipe made with balanced spices and wholesome ingredients for better metabolism.,11,2
Healthy Paruppu Kuzhambu Special,234,19,27,Bitter,"Chili Powder, Coriander Powder, Onion, Salt, Tamarind, Tomato",Total in 68M,Heat oil in a pan over medium heat. Add Onion and saute  golden brown. Add Tomato and cook until it turns mushy. Add Chili Powder and mix well. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Season with Salt and serve.,A thyroid-friendly kuzhambu recipe made with balanced spices and wholesome ingredients for better metabolism.,8,4
Homestyle Tulsi Decoction Taste,349,15,16,Spicy,"Cumin, Ginger, Honey, Lemon, Tulsi, Water",Total in 53M,Heat oil in a pan. Add all vegetables and spices. Cook on medium heat stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly drink recipe made with balanced spices and wholesome ingredients for better metabolism.,4,3
Mild Curry Leaf Tea Taste,148,15,16,Spicy,"Cumin, Ginger, Honey, Lemon, Tulsi, Water",Total in 49M,Heat oil in a pan over medium heat. Add Cumin Seeds and let them splutter. Add Ginger and saute  1-2 minutes. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Season with Salt and serve.,A thyroid-friendly drink recipe made with balanced spices and wholesome ingredients for better metabolism.,10,4
Homestyle Drumstick Leaves Stir Fry Delight,340,7,11,Spicy,"Drumstick Leave, Garlic, Mustard Seeds, Onion, Salt, Spinach",Total in 57M,Heat oil in a pan over medium heat. Add Mustard Seeds and let them splutter. Add Onion and saute  translucent. Add Garlic and saute  1 minute. Add the chopped vegetables and stir well. Cook on medium heat for 8-10 minutes stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly leafy recipe made with balanced spices and wholesome ingredients for better metabolism.,4,4
Homestyle Thinai Upma Bliss,318,8,18,Astringent,"Ghee, Millet, Onion, Salt",Total in 69M,Heat Ghee in a pan. Add all vegetables and spices. Cook on medium heat stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly millet recipe made with balanced spices and wholesome ingredients for better metabolism.,7,2
Wholesome Pepper Paneer Fry Curry,185,10,12,Spicy,"Onion, Paneer, Pepper, Salt, Tomato",Total in 41M,Heat oil in a pan over medium heat. Add Onion and saute  translucent. Add the chopped vegetables and stir well. Cook on medium heat for 8-10 minutes stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly paneer recipe made with balanced spices and wholesome ingredients for better metabolism.,4,4
Authentic Paneer Masala Fusion,290,17,27,Spicy,"Onion, Paneer, Pepper, Salt, Tomato",Total in 50M,Heat oil in a pan over medium heat. Add Onion and saute  golden brown. Add Tomato and cook until it turns mushy. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Season with Salt and serve.,A thyroid-friendly paneer recipe made with balanced spices and wholesome ingredients for better metabolism.,6,2
Classic Moong Dal Soup Curry,134,12,29,Spicy,"Chickpea, Cowpea, Moong Dal, Mustard Seeds, Onion, Salt, Tomato",Total in 41M,Boil water in a pot. saute  until golden brown. Add Tomato and cook until soft. Add water and bring to a boil. Season with Salt and serve hot.,A thyroid-friendly legume recipe made with balanced spices and wholesome ingredients for better metabolism.,8,4
Healthy Methi Dal Special,178,12,25,Spicy,"Drumstick Leave, Garlic, Methi, Mustard Seeds, Onion, Salt, Spinach",Total in 65M,Heat oil in a pan. Add Mustard Seeds and let them splutter. Add all vegetables and spices. Cook on medium heat stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly leafy recipe made with balanced spices and wholesome ingredients for better metabolism.,9,4
Wholesome Tulsi Decoction Bliss,210,14,23,Spicy,"Cumin, Ginger, Honey, Lemon, Tulsi, Water",Total in 29M,Heat oil in a pan. Add all vegetables and spices. Cook on medium heat stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly drink recipe made with balanced spices and wholesome ingredients for better metabolism.,3,2
Homestyle Kozhi Curry Taste,123,11,15,Spicy,"Chicken, Chili Powder, Ginger Garlic Paste, Onion, Salt, Tomato, Turmeric",Total in 70M,"Heat oil in a pan over medium heat. Add Onion and saute  golden brown. Add Garlic, Ginger and saute  1-2 minutes. Add Tomato and cook until it turns mushy. Add Turmeric Powder, Chili Powder and mix well. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Season with Salt and serve.",A thyroid-friendly chicken recipe made with balanced spices and wholesome ingredients for better metabolism.,4,4
Wholesome Green Gram Curry Curry,345,14,28,Spicy,"Chickpea, Cowpea, Moong Dal, Mustard Seeds, Onion, Salt, Tomato",Total in 32M,Heat oil in a pan over medium heat. Add Mustard Seeds and let them splutter. Add Onion and saute  golden brown. Add Tomato and cook until it turns mushy. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Season with Salt and serve.,A thyroid-friendly legume recipe made with balanced spices and wholesome ingredients for better metabolism.,4,3
Mild Egg Dosa Taste,200,10,18,Astringent,"Egg, Mustard Seeds, Onion, Salt, Tomato",Total in 25M,Heat oil in a pan. Add Mustard Seeds and let them splutter. Add all vegetables and spices. Cook on medium heat stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly egg recipe made with balanced spices and wholesome ingredients for better metabolism.,8,3
Mild Seer Fish Fry Style,348,8,16,Spicy,"Chili Powder, Coconut, Fish, Garlic, Mustard Seeds, Salt, Tamarind",Total in 40M,Heat oil in a pan over medium heat. Add Mustard Seeds and let them splutter. Add Garlic and saute  1 minute. Add the chopped vegetables and stir well. Add Chili Powder and mix thoroughly. Cook on medium heat for 8-10 minutes stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly fish recipe made with balanced spices and wholesome ingredients for better metabolism.,8,3
Authentic Pepper Tea Style,162,8,20,Spicy,"Cumin, Ginger, Honey, Lemon, Pepper, Tulsi, Water",Total in 61M,Heat oil in a pan. Add all vegetables and spices. Cook on medium heat stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly drink recipe made with balanced spices and wholesome ingredients for better metabolism.,4,2
Fragrant Pongal Bliss,231,18,17,Spicy,"Ghee, Rice, Salt, Urad Dal",Total in 69M,Heat Ghee in a pan. Add all vegetables and spices. Cook on medium heat stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly tiffin recipe made with balanced spices and wholesome ingredients for better metabolism.,4,4
Fragrant Coconut Rice Style,230,12,17,Astringent,"Lemon, Mustard Seeds, Rice, Salt",Total in 32M,Heat oil in a pan. Add Mustard Seeds and let them splutter. Add all vegetables and spices. Cook on medium heat stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly rice recipe made with balanced spices and wholesome ingredients for better metabolism.,5,2
Zesty Pepper Chicken Roast Special,284,7,24,Spicy,"Chicken, Chili Powder, Ginger Garlic Paste, Onion, Pepper, Salt, Tomato, Turmeric",Total in 57M,Heat oil in a pan. Add all vegetables and spices. Cook on medium heat stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly chicken recipe made with balanced spices and wholesome ingredients for better metabolism.,12,4
Rustic Seer Fish Fry Bliss,238,10,14,Spicy,"Chili Powder, Coconut, Fish, Garlic, Mustard Seeds, Salt, Tamarind",Total in 45M,Heat oil in a pan over medium heat. Add Mustard Seeds and let them splutter. Add Garlic and saute  1 minute. Add the chopped vegetables and stir well. Add Chili Powder and mix thoroughly. Cook on medium heat for 8-10 minutes stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly fish recipe made with balanced spices and wholesome ingredients for better metabolism.,4,3
Homestyle Kudal Curry Curry,262,12,14,Spicy,"Chili Powder, Fennel Seeds, Ginger Garlic Paste, Mutton, Onion, Salt, Tomato, Turmeric",Total in 31M,"Heat oil in a pan over medium heat. Add Onion and saute  golden brown. Add Garlic, Ginger and saute  1-2 minutes. Add Tomato and cook until it turns mushy. Add Turmeric Powder, Chili Powder and mix well. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Season with Salt and serve.",A thyroid-friendly mutton recipe made with balanced spices and wholesome ingredients for better metabolism.,6,2
Classic Paneer Kurma Treat,176,18,24,Astringent,"Onion, Paneer, Pepper, Salt, Tomato",Total in 53M,Heat oil in a pan. Add all vegetables and spices. Cook on medium heat stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly paneer recipe made with balanced spices and wholesome ingredients for better metabolism.,10,2
Traditional Moong Dal Soup Masala,329,10,12,Spicy,"Chickpea, Cowpea, Moong Dal, Mustard Seeds, Onion, Salt, Tomato",Total in 32M,Boil water in a pot. saute  until golden brown. Add Tomato and cook until soft. Add water and bring to a boil. Season with Salt and serve hot.,A thyroid-friendly legume recipe made with balanced spices and wholesome ingredients for better metabolism.,11,4
Healthy Pepper Egg Fry Bliss,317,19,26,Spicy,"Egg, Mustard Seeds, Onion, Pepper, Salt, Tomato",Total in 54M,Heat oil in a pan over medium heat. Add Mustard Seeds and let them splutter. Add Onion and saute  translucent. Add the chopped vegetables and stir well. Cook on medium heat for 8-10 minutes stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly egg recipe made with balanced spices and wholesome ingredients for better metabolism.,4,3
Classic Kambu Dosa Bliss,203,6,30,Spicy,"Ghee, Millet, Onion, Salt",Total in 44M,Heat Ghee in a pan. Add all vegetables and spices. Cook on medium heat stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly millet recipe made with balanced spices and wholesome ingredients for better metabolism.,6,2
Zesty Chana Dal Curry Style,217,10,14,Spicy,"Chickpea, Cowpea, Moong Dal, Mustard Seeds, Onion, Salt, Tomato",Total in 61M,Heat oil in a pan over medium heat. Add Mustard Seeds and let them splutter. Add Onion and saute  golden brown. Add Tomato and cook until it turns mushy. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Season with Salt and serve.,A thyroid-friendly legume recipe made with balanced spices and wholesome ingredients for better metabolism.,11,2
Wholesome Masala Meen Varuval Curry,177,14,18,Spicy,"Chili Powder, Coconut, Fish, Garlic, Mustard Seeds, Salt, Tamarind",Total in 33M,Heat oil in a pan over medium heat. Add Mustard Seeds and let them splutter. Add Garlic and saute  1-2 minutes. Add Chili Powder and mix well. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Add grated Coconut and cook for 2 more minutes. Season with Salt and serve.,A thyroid-friendly fish recipe made with balanced spices and wholesome ingredients for better metabolism.,9,3
Mild Mutton Sukka Varuval Bliss,285,13,10,Spicy,"Chili Powder, Fennel Seeds, Ginger Garlic Paste, Mutton, Onion, Salt, Tomato, Turmeric",Total in 50M,Heat oil in a pan. Add all vegetables and spices. Cook on medium heat stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly mutton recipe made with balanced spices and wholesome ingredients for better metabolism.,9,2
Mild Idli Treat,201,15,22,Astringent,"Ghee, Rice, Salt, Urad Dal",Total in 60M,Heat Ghee in a pan. Add all vegetables and spices. Cook on medium heat stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly tiffin recipe made with balanced spices and wholesome ingredients for better metabolism.,4,4
Healthy Pepper Paneer Fry Taste,139,14,26,Spicy,"Onion, Paneer, Pepper, Salt, Tomato",Total in 61M,Heat oil in a pan over medium heat. Add Onion and saute  translucent. Add the chopped vegetables and stir well. Cook on medium heat for 8-10 minutes stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly paneer recipe made with balanced spices and wholesome ingredients for better metabolism.,11,4
Traditional Pongal Variety,336,14,19,Spicy,"Ghee, Rice, Salt, Urad Dal",Total in 50M,Heat Ghee in a pan. Add all vegetables and spices. Cook on medium heat stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly tiffin recipe made with balanced spices and wholesome ingredients for better metabolism.,7,3
Rustic Masala Meen Varuval Delight,306,17,27,Spicy,"Chili Powder, Coconut, Fish, Garlic, Mustard Seeds, Salt, Tamarind",Total in 60M,Heat oil in a pan over medium heat. Add Mustard Seeds and let them splutter. Add Garlic and saute  1-2 minutes. Add Chili Powder and mix well. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Add grated Coconut and cook for 2 more minutes. Season with Salt and serve.,A thyroid-friendly fish recipe made with balanced spices and wholesome ingredients for better metabolism.,4,2
Fragrant Horse Gram Kuzhambu Taste,124,20,24,Spicy,"Chickpea, Cowpea, Moong Dal, Mustard Seeds, Onion, Salt, Tomato",Total in 32M,Heat oil in a pan over medium heat. Add Mustard Seeds and let them splutter. Add Onion and saute  golden brown. Add Tomato and cook until it turns mushy. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Season with Salt and serve.,A thyroid-friendly legume recipe made with balanced spices and wholesome ingredients for better metabolism.,11,3
Mild Horse Gram Kuzhambu Bliss,184,19,28,Spicy,"Chickpea, Cowpea, Moong Dal, Mustard Seeds, Onion, Salt, Tomato",Total in 41M,Heat oil in a pan over medium heat. Add Mustard Seeds and let them splutter. Add Onion and saute  golden brown. Add Tomato and cook until it turns mushy. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Season with Salt and serve.,A thyroid-friendly legume recipe made with balanced spices and wholesome ingredients for better metabolism.,5,3
Wholesome Curry Leaf Soup Variety,273,8,24,Spicy,"Garlic, Mustard Seeds, Pepper, Salt, Tomato, Water",Total in 61M,Boil water in a pot. saute  until golden brown. Add Tomato and cook until soft. Add water and bring to a boil. Season with Salt and serve hot.,A thyroid-friendly soup recipe made with balanced spices and wholesome ingredients for better metabolism.,7,2
Mild Samai Idli Variety,293,15,15,Astringent,"Ghee, Millet, Onion, Salt",Total in 60M,Heat Ghee in a pan. Add all vegetables and spices. Cook on medium heat stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly millet recipe made with balanced spices and wholesome ingredients for better metabolism.,12,3
Mild Tamarind Rice Style,291,9,9,Astringent,"Lemon, Mustard Seeds, Rice, Salt, Tamarind",Total in 34M,Heat oil in a pan. Add Mustard Seeds and let them splutter. Add all vegetables and spices. Cook on medium heat stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly rice recipe made with balanced spices and wholesome ingredients for better metabolism.,12,4
Classic Chana Dal Curry Bliss,168,8,13,Spicy,"Chickpea, Cowpea, Moong Dal, Mustard Seeds, Onion, Salt, Tomato",Total in 62M,Heat oil in a pan over medium heat. Add Mustard Seeds and let them splutter. Add Onion and saute  golden brown. Add Tomato and cook until it turns mushy. Add the main ingredients and coat with the masala. Add water as needed cover and cook until done. Season with Salt and serve.,A thyroid-friendly legume recipe made with balanced spices and wholesome ingredients for better metabolism.,10,3
Traditional Seer Fish Fry Masala,322,15,15,Spicy,"Chili Powder, Coconut, Fish, Garlic, Mustard Seeds, Salt, Tamarind",Total in 28M,Heat oil in a pan over medium heat. Add Mustard Seeds and let them splutter. Add Garlic and saute  1 minute. Add the chopped vegetables and stir well. Add Chili Powder and mix thoroughly. Cook on medium heat for 8-10 minutes stirring occasionally. Season with Salt and serve hot.,A thyroid-friendly fish recipe made with balanced spices and wholesome ingredients for better metabolism.,3,4
Classic Drumstick Soup Special,222,14,23,Astringent,"Drumstick, Garlic, Mustard Seeds, Pepper, Salt, Tomato, Water",Total in 54M,Boil water in a pot. saute  until golden brown. Add Tomato and cook until soft. Add water and bring to a boil. Season with Salt and serve hot.,A thyroid-friendly soup recipe made with balanced spices and wholesome ingredients for better metabolism.,3,2
